raw_generation_id,parent_candidate_id,parent_structure_hash,generation_method,generator_version,reaction_or_operation,reaction_smarts,building_block_id,building_block_smiles,attachment_atom_index,raw_smiles,generation_error,qc_status,rejection_reason,generated_candidate_id,canonical_smiles,warning_count
RAW-00001,ATP-REF-IN2,ccd401f1ea07dc14c58a5929c18ed4fc70241dd381d7d16b9e89c0c47542dc72,scaffold_preserving_R_group_enumeration,2026.03.5,aromatic_CH_Rgroup_substitution_v1,[cH:1].[*:2]-[*:3]>>[c:1]-[*:3],R_F,[*:1]F,5,C[NH+](C)Cc1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1F,,accepted,,ATP-GEN-3B3178A0D6A8,C[NH+](C)Cc1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1F,0.0
RAW-00002,ATP-REF-IN2,ccd401f1ea07dc14c58a5929c18ed4fc70241dd381d7d16b9e89c0c47542dc72,scaffold_preserving_R_group_enumeration,2026.03.5,aromatic_CH_Rgroup_substitution_v1,[cH:1].[*:2]-[*:3]>>[c:1]-[*:3],R_Cl,[*:1]Cl,5,C[NH+](C)Cc1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1Cl,,accepted,,ATP-GEN-0742DA4276EF,C[NH+](C)Cc1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1Cl,0.0
RAW-00003,ATP-REF-IN2,ccd401f1ea07dc14c58a5929c18ed4fc70241dd381d7d16b9e89c0c47542dc72,scaffold_preserving_R_group_enumeration,2026.03.5,aromatic_CH_Rgroup_substitution_v1,[cH:1].[*:2]-[*:3]>>[c:1]-[*:3],R_Br,[*:1]Br,5,C[NH+](C)Cc1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1Br,,accepted,,ATP-GEN-BD60F3115C29,C[NH+](C)Cc1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1Br,0.0
RAW-00004,ATP-REF-IN2,ccd401f1ea07dc14c58a5929c18ed4fc70241dd381d7d16b9e89c0c47542dc72,scaffold_preserving_R_group_enumeration,2026.03.5,aromatic_CH_Rgroup_substitution_v1,[cH:1].[*:2]-[*:3]>>[c:1]-[*:3],R_Me,[*:1]C,5,Cc1cc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)ccc1C[NH+](C)C,,accepted,,ATP-GEN-EDF096265289,Cc1cc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)ccc1C[NH+](C)C,0.0
RAW-00005,ATP-REF-IN2,ccd401f1ea07dc14c58a5929c18ed4fc70241dd381d7d16b9e89c0c47542dc72,scaffold_preserving_R_group_enumeration,2026.03.5,aromatic_CH_Rgroup_substitution_v1,[cH:1].[*:2]-[*:3]>>[c:1]-[*:3],R_Et,[*:1]CC,5,CCc1cc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)ccc1C[NH+](C)C,,accepted,,ATP-GEN-3CF267D8758A,CCc1cc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)ccc1C[NH+](C)C,0.0
RAW-00006,ATP-REF-IN2,ccd401f1ea07dc14c58a5929c18ed4fc70241dd381d7d16b9e89c0c47542dc72,scaffold_preserving_R_group_enumeration,2026.03.5,aromatic_CH_Rgroup_substitution_v1,[cH:1].[*:2]-[*:3]>>[c:1]-[*:3],R_iPr,[*:1]C(C)C,5,CC(C)c1cc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)ccc1C[NH+](C)C,,accepted,,ATP-GEN-B94A3A6839BC,CC(C)c1cc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)ccc1C[NH+](C)C,0.0
RAW-00007,ATP-REF-IN2,ccd401f1ea07dc14c58a5929c18ed4fc70241dd381d7d16b9e89c0c47542dc72,scaffold_preserving_R_group_enumeration,2026.03.5,aromatic_CH_Rgroup_substitution_v1,[cH:1].[*:2]-[*:3]>>[c:1]-[*:3],R_OMe,[*:1]OC,5,COc1cc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)ccc1C[NH+](C)C,,accepted,,ATP-GEN-A82BDFAA8218,COc1cc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)ccc1C[NH+](C)C,0.0
RAW-00008,ATP-REF-IN2,ccd401f1ea07dc14c58a5929c18ed4fc70241dd381d7d16b9e89c0c47542dc72,scaffold_preserving_R_group_enumeration,2026.03.5,aromatic_CH_Rgroup_substitution_v1,[cH:1].[*:2]-[*:3]>>[c:1]-[*:3],R_OEt,[*:1]OCC,5,CCOc1cc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)ccc1C[NH+](C)C,,accepted,,ATP-GEN-397D5A9CBB80,CCOc1cc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)ccc1C[NH+](C)C,0.0
RAW-00009,ATP-REF-IN2,ccd401f1ea07dc14c58a5929c18ed4fc70241dd381d7d16b9e89c0c47542dc72,scaffold_preserving_R_group_enumeration,2026.03.5,aromatic_CH_Rgroup_substitution_v1,[cH:1].[*:2]-[*:3]>>[c:1]-[*:3],R_CN,[*:1]C#N,5,C[NH+](C)Cc1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1C#N,,accepted,,ATP-GEN-F6456D9CFF1B,C[NH+](C)Cc1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1C#N,0.0
RAW-00010,ATP-REF-IN2,ccd401f1ea07dc14c58a5929c18ed4fc70241dd381d7d16b9e89c0c47542dc72,scaffold_preserving_R_group_enumeration,2026.03.5,aromatic_CH_Rgroup_substitution_v1,[cH:1].[*:2]-[*:3]>>[c:1]-[*:3],R_CF3,[*:1]C(F)(F)F,5,C[NH+](C)Cc1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1C(F)(F)F,,accepted,,ATP-GEN-7A898D5E996B,C[NH+](C)Cc1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1C(F)(F)F,0.0
