candidate_id,candidate_origin,parent_id,canonical_smiles,scaffold,cluster,selection_class,glide_score,glide_rank,vina_score,vina_rank,acquisition_score,protocol_disagreement,novelty,tractability,pose_path
ATP-HTVS-AD7FBCC01633,phase15_historical_htvs,,[NH3+][C@H](C#Cc1cc2ccccc2nc1NC(=O)Cc1ccc(O)cc1)Cc1cccc(F)c1,O=C(Cc1ccccc1)Nc1nc2ccccc2cc1C#CCCc1ccccc1,27,multi_protocol_strong,,7,-9.947,15,0.0548872631059242,0.0049019607843137,0.5323188378030038,,
ATP-HTVS-8F383301D999,phase15_historical_htvs,,[NH3+][C@H](C#Cc1cc2ccccc2nc1NC(=O)[C@H](O)c1cccc(Cl)c1)Cc1cccc(F)c1,O=C(Cc1ccccc1)Nc1nc2ccccc2cc1C#CCCc1ccccc1,27,multi_protocol_strong,,12,-9.621,30,0.0548259885961203,0.0110294117647058,0.5323188378030038,,
ATP-HTVS-3B3954EE8C13,phase15_historical_htvs,,[NH3+][C@@H](C#Cc1cnc2ccccc2c1NC(=O)C#Cc1cccc(F)c1)Cc1cccc(F)c1,O=C(C#Cc1ccccc1)Nc1c(C#CCCc2ccccc2)cnc2ccccc12,47,multi_protocol_strong,,11,-9.454,42,0.0529394167328937,0.0189950980392156,0.6583798285481339,,
ATP-HTVS-CB3D9B3FDDC1,phase15_historical_htvs,,C[C@@H](NC(=O)NC[C@@H]1c2ccccc2C(=O)N1Cc1ccccc1)c1ccc(C[NH+](C)C)cc1,O=C(NCc1ccccc1)NCC1c2ccccc2C(=O)N1Cc1ccccc1,497,multi_protocol_strong,,26,-9.572,34,0.0520146744729871,0.0049019607843137,0.8435622116579284,,
ATP-HTVS-780990BE0E68,phase15_historical_htvs,,C[C@@H]([NH2+]CC#Cc1cnc(NC(=O)c2cccc(O)c2)c2ccccc12)c1cccc(F)c1,O=C(Nc1ncc(C#CC[NH2+]Cc2ccccc2)c2ccccc12)c1ccccc1,49,multi_protocol_strong,,2,-9.251,65,0.0513923813911527,0.0386029411764705,0.6069634889387587,,
ATP-HTVS-54A1786C1F00,phase15_historical_htvs,,[NH3+][C@H](C#Cc1cc2ccccc2nc1NC(=O)[C@H](O)c1ccc(Cl)cc1)Cc1cccc(F)c1,O=C(Cc1ccccc1)Nc1nc2ccccc2cc1C#CCCc1ccccc1,27,multi_protocol_strong,,18,-9.256,64,0.0548014787921987,0.0281862745098039,0.5323188378030038,,
ATP-HTVS-B31ECD8B9A27,phase15_historical_htvs,,C[NH2+]Cc1ccccc1CNC(=O)c1cc(-c2ccccn2)nc2ccccc12,O=C(NCc1ccccc1)c1cc(-c2ccccn2)nc2ccccc12,157,multi_protocol_strong,,48,-9.507,39,0.0597418261857926,0.0055147058823529,0.8384962462644228,,
ATP-HTVS-081D95190B15,phase15_historical_htvs,,[NH3+][C@@H](C#Cc1cnc2ccccc2c1NC(=O)C#Cc1ccccc1)Cc1cccc(F)c1,O=C(C#Cc1ccccc1)Nc1c(C#CCCc2ccccc2)cnc2ccccc12,47,multi_protocol_strong,,37,-9.296,59,0.0509339020270114,0.0134803921568627,0.6583798285481339,,
ATP-HTVS-6F07AE7177E0,phase15_historical_htvs,,[NH3+][C@@H](CNC(=O)c1oc2ccccc2c1CSc1ccccc1F)c1ccccc1,O=C(NCCc1ccccc1)c1oc2ccccc2c1CSc1ccccc1,93,multi_protocol_strong,,50,-9.395,47,0.0513839923170924,0.0018382352941176,0.7179860587384581,,
ATP-HTVS-B3F47181DC5D,phase15_historical_htvs,,C[C@@H]([NH2+]CC#Cc1cnc(NC(=O)c2cccc(O)c2)c2ccccc12)c1ccc(F)cc1,O=C(Nc1ncc(C#CC[NH2+]Cc2ccccc2)c2ccccc12)c1ccccc1,49,multi_protocol_strong,,64,-9.567,35,0.0476815970774272,0.0177696078431372,0.6069634889387587,,
ATP-HTVS-E71202E475AE,phase15_historical_htvs,,Cc1cc(OCc2ccccc2)ncc1NC(=O)Nc1ccccc1C[NH+](C)C,O=C(Nc1ccccc1)Nc1ccc(OCc2ccccc2)nc1,427,multi_protocol_strong,,23,-9.176,78,0.057406950280112,0.0337009803921568,1.0,,
ATP-HTVS-1D3C11D6B0D4,phase15_historical_htvs,,N#Cc1cc(C(=O)Nc2c(C#CC[NH2+]Cc3ccccc3)cnc3ccccc23)ccc1Cl,O=C(Nc1c(C#CC[NH2+]Cc2ccccc2)cnc2ccccc12)c1ccccc1,199,multi_protocol_strong,,53,-9.214,71,0.0555634873362254,0.0110294117647058,0.6568775983376735,,
ATP-HTVS-2C5504015D66,phase15_historical_htvs,,O[C@H](C[NH2+][C@@H](c1ccccn1)c1cc2ccccc2o1)c1c(F)cccc1F,c1ccc(CC[NH2+]C(c2ccccn2)c2cc3ccccc3o2)cc1,126,multi_protocol_strong,,39,-9.038,112,0.0497186841938961,0.0447303921568627,0.7145222321554544,,
ATP-HTVS-F8BD3C119C5E,phase15_historical_htvs,,O[C@H](C[NH2+][C@@H](c1ccccn1)c1cc2ccccc2o1)c1ccccc1Cl,c1ccc(CC[NH2+]C(c2ccccn2)c2cc3ccccc3o2)cc1,126,multi_protocol_strong,,19,-8.984,133,0.0502119439978177,0.0698529411764705,0.7145222321554544,,
ATP-HTVS-B847417F307C,phase15_historical_htvs,,O=C(Cc1ccc(F)cc1)Nc1cnc2ccccc2c1C#CC(=O)c1ccccc1,O=C(Cc1ccccc1)Nc1cnc2ccccc2c1C#CC(=O)c1ccccc1,538,multi_protocol_strong,,132,-9.706,26,0.0570080532212885,0.0649509803921568,1.0,,
ATP-HTVS-CF9A421CD50D,phase15_historical_htvs,,C[C@H](Nc1nc(NCc2ccc(F)c(CN(C)C)c2)c2ccccc2[nH+]1)c1ccccc1F,c1ccc(CNc2nc(NCc3ccccc3)c3ccccc3[nH+]2)cc1,52,extreme_disagreement,,1612,-9.475,41,0.042144774828498,0.962622549019608,0.2962049529094938,,
ATP-HTVS-898AE5CA69D9,phase15_historical_htvs,,CCN(C)Cc1cccc(CNc2nc(NCc3cccc(C)c3)[nH+]c3ccccc23)c1,c1ccc(CNc2nc(NCc3ccccc3)c3ccccc3[nH+]2)cc1,305,extreme_disagreement,,1628,-9.134,86,0.0453046218487394,0.9448529411764706,0.5,,
