panel_order,stage_added,candidate_id,candidate_origin,selection_class,protocol_id,protocol_hash,status,cached,failure_stage,failure_reason,runtime_seconds,parameterization_success,sampling_success,trajectory_integrity,frame_count,finite_result,open_mmgbsa_deltaG,open_mmgbsa_sd,deltaG_unit,protein_ca_rmsd_mean_nm,ligand_heavy_rmsd_mean_nm,qc_status,training,activity_label
1,qualification,ATP-REF-IN2,internal_reference,reference_IN2,open_mmgbsa_7p3w_v2,cb28279704aa51f7530e0e61fc592450d43823fe1e23aad5975a638b82407aab,success,False,,,3238.675953174,True,True,True,50,True,-24.64,2.88,kcal/mol,0.036568354815244675,0.05883101373910904,pass,False,not_applicable
2,qualification,ATP-HTVS-AD7FBCC01633,phase15_historical_htvs,multi_protocol_strong,open_mmgbsa_7p3w_v2,cb28279704aa51f7530e0e61fc592450d43823fe1e23aad5975a638b82407aab,success,False,,,3298.3941122460005,True,True,True,50,True,-15.57,2.97,kcal/mol,0.03381241485476494,0.08371739089488983,pass,False,not_applicable
3,qualification,ATP-HTVS-8F383301D999,phase15_historical_htvs,multi_protocol_strong,open_mmgbsa_7p3w_v2,cb28279704aa51f7530e0e61fc592450d43823fe1e23aad5975a638b82407aab,success,False,,,3230.894056255999,True,True,True,50,True,-15.8,3.03,kcal/mol,0.036182381212711334,0.09257206320762634,pass,False,not_applicable
4,qualification,ATP-HTVS-CF9A421CD50D,phase15_historical_htvs,extreme_disagreement,open_mmgbsa_7p3w_v2,cb28279704aa51f7530e0e61fc592450d43823fe1e23aad5975a638b82407aab,success,False,,,3171.1358528630008,True,True,True,50,True,-23.17,3.43,kcal/mol,0.034028712660074234,0.12277590483427048,pass,False,not_applicable
5,qualification,ATP-HTVS-898AE5CA69D9,phase15_historical_htvs,extreme_disagreement,open_mmgbsa_7p3w_v2,cb28279704aa51f7530e0e61fc592450d43823fe1e23aad5975a638b82407aab,success,False,,,3028.8171890920003,True,True,True,50,True,-20.3,2.54,kcal/mol,0.03527812659740448,0.07742054015398026,pass,False,not_applicable
6,qualification,ATP-HTVS-1E5A6A308B25,phase15_historical_htvs,medium_controls,open_mmgbsa_7p3w_v2,cb28279704aa51f7530e0e61fc592450d43823fe1e23aad5975a638b82407aab,success,False,,,3096.0506688589994,True,True,True,50,True,-23.72,2.22,kcal/mol,0.035063017159700394,0.05384416505694389,pass,False,not_applicable
7,qualification,ATP-GEN-7A898D5E996B,phase16_generated,generated_high_ranking,open_mmgbsa_7p3w_v2,cb28279704aa51f7530e0e61fc592450d43823fe1e23aad5975a638b82407aab,success,False,,,1209.4854150750034,True,True,True,50,True,-20.52,2.03,kcal/mol,0.034078195691108704,0.06140173599123955,pass,False,not_applicable
8,qualification,ATP-GEN-B94A3A6839BC,phase16_generated,generated_diverse_novel,open_mmgbsa_7p3w_v2,cb28279704aa51f7530e0e61fc592450d43823fe1e23aad5975a638b82407aab,success,False,,,3256.664749906002,True,True,True,50,True,-30.11,3.7,kcal/mol,0.036573104560375214,0.07670362293720245,pass,False,not_applicable
9,pilot30,ATP-HTVS-1449F4F4BA71,phase15_historical_htvs,extreme_disagreement,open_mmgbsa_7p3w_v2,cb28279704aa51f7530e0e61fc592450d43823fe1e23aad5975a638b82407aab,success,False,,,3224.500473758002,True,True,True,50,True,-12.82,1.81,kcal/mol,0.03455742448568344,0.09168855845928192,pass,False,not_applicable
10,pilot30,ATP-GEN-83963B27D9CD,phase16_generated,generated_acquisition,open_mmgbsa_7p3w_v2,cb28279704aa51f7530e0e61fc592450d43823fe1e23aad5975a638b82407aab,success,False,,,3374.5900499830022,True,True,True,50,True,-18.9,2.88,kcal/mol,0.03314104676246643,0.06617101281881332,pass,False,not_applicable
