compound_id,historical_alias,default_score,default_rank,A_score,A_rank,B_score,B_rank,C_score,C_rank,D_score,D_rank,max_rank_shift_across_A_to_D
ATP-SMI-C93E6EC67CDB,Hit2,73.90711805555556,1,77.10995370370371,1,57.6568287037037,8,73.98582175925927,1,74.09461805555556,1,7
ATP-SMI-9DA3213A09E8,Hit1,71.07465277777777,2,73.83101851851852,2,64.36226851851852,2,68.7181712962963,3,69.76215277777777,2,1
ATP-SMI-5D3E7B6B6796,Hit4,62.53559027777778,3,63.42476851851852,4,64.03414351851852,3,60.5541087962963,6,60.53559027777778,4,3
ATP-SMI-96FD6257D8BA,Hit5,62.49652777777778,4,65.26851851851852,3,63.95601851851852,4,57.3900462962963,11,59.24652777777778,6,8
ATP-SMI-E9798004BA11,Hit6,59.950520833333336,5,61.27430555555556,6,61.78993055555556,6,57.131076388888886,12,57.700520833333336,7,6
ATP-SMI-5B36D3E11A3B,Hit13,57.85243055555556,6,49.5162037037037,9,65.54745370370371,1,69.18113425925927,2,60.53993055555556,3,8
ATP-SMI-C3308BEE03AC,Hit10,57.04774305555556,7,53.2974537037037,7,48.1880787037037,12,66.25144675925927,4,59.67274305555556,5,8
ATP-SMI-874C2DE25FE4,Hit3,55.400173611111114,8,62.605324074074076,5,42.402199074074076,15,47.72424768518519,16,51.212673611111114,11,11
ATP-SMI-775D33706F04,Hit14,54.85243055555556,9,47.8912037037037,11,56.0474537037037,9,66.05613425925927,5,57.66493055555556,8,6
ATP-SMI-CDED936B42F4,Hit11,53.96180555555556,10,49.2037037037037,10,63.2662037037037,5,58.79050925925926,9,53.77430555555556,10,5
ATP-SMI-BF69AB71C1A4,Hit8,53.35243055555556,11,51.1412037037037,8,45.0474537037037,13,59.80613425925926,7,54.66493055555556,9,6
ATP-SMI-91E7552C2382,Hit16,49.70399305555556,12,42.4224537037037,14,58.5005787037037,7,58.90769675925926,8,51.07899305555556,12,7
ATP-SMI-FCA9CDF3313B,Hit9,47.61805555555556,13,46.7037037037037,12,42.5787037037037,14,50.82175925925926,15,47.18055555555556,16,4
ATP-SMI-4417138BF81D,Hit17,47.38715277777778,14,39.45601851851852,17,53.98726851851852,10,58.4056712962963,10,49.57465277777778,13,7
ATP-SMI-CFA68A98711F,Hit15,46.5859375,15,41.927083333333336,15,49.755208333333336,11,53.294270833333336,14,47.2734375,14,4
ATP-SMI-94F73967C042,Hit12,45.52430555555556,16,41.7037037037037,16,38.8912037037037,16,54.10300925925926,13,47.21180555555556,15,3
ATP-SMI-15737353FB69,Hit7,43.38802083333333,17,44.982638888888886,13,35.748263888888886,17,43.27690972222222,17,41.45052083333333,17,4
