scenario_row,scenario_column,n_candidates,spearman_correlation,kendall_tau
default,default,17,1.0,0.9999999999999999
default,A,17,0.9215686274509804,0.764705882352941
default,B,17,0.7107843137254903,0.5441176470588235
default,C,17,0.661764705882353,0.5294117647058822
default,D,17,0.9411764705882353,0.8235294117647057
A,default,17,0.9215686274509804,0.764705882352941
A,A,17,1.0,0.9999999999999999
A,B,17,0.4754901960784314,0.338235294117647
A,C,17,0.45833333333333337,0.3235294117647059
A,D,17,0.8161764705882354,0.6176470588235293
B,default,17,0.7107843137254903,0.5441176470588235
B,A,17,0.4754901960784314,0.338235294117647
B,B,17,1.0,0.9999999999999999
B,C,17,0.6348039215686275,0.48529411764705876
B,D,17,0.7377450980392158,0.6029411764705882
C,default,17,0.661764705882353,0.5294117647058822
C,A,17,0.45833333333333337,0.3235294117647059
C,B,17,0.6348039215686275,0.48529411764705876
C,C,17,1.0,0.9999999999999999
C,D,17,0.8455882352941178,0.7058823529411764
D,default,17,0.9411764705882353,0.8235294117647057
D,A,17,0.8161764705882354,0.6176470588235293
D,B,17,0.7377450980392158,0.6029411764705882
D,C,17,0.8455882352941178,0.7058823529411764
D,D,17,1.0,0.9999999999999999
