compound_id,historical_alias,final_rank,final_score,top3_count_4_scenarios,top5_count_4_scenarios,mean_rank_4_scenarios,median_rank_4_scenarios,best_rank_4_scenarios,worst_rank_4_scenarios,top3_frequency,top5_frequency,rank_range_4_scenarios
ATP-SMI-9DA3213A09E8,Hit1,2,71.07465277777777,4,4,2.25,2.0,2,3,1.0,1.0,1
ATP-SMI-C93E6EC67CDB,Hit2,1,73.90711805555556,3,3,2.75,1.0,1,8,0.75,0.75,7
ATP-SMI-5B36D3E11A3B,Hit13,6,57.85243055555556,3,3,3.75,2.5,1,9,0.75,0.75,8
ATP-SMI-5D3E7B6B6796,Hit4,3,62.53559027777778,1,3,4.25,4.0,3,6,0.25,0.75,3
ATP-SMI-96FD6257D8BA,Hit5,4,62.49652777777778,1,2,6.0,5.0,3,11,0.25,0.5,8
ATP-SMI-C3308BEE03AC,Hit10,7,57.04774305555556,0,2,7.0,6.0,4,12,0.0,0.5,8
ATP-SMI-775D33706F04,Hit14,9,54.85243055555556,0,1,8.25,8.5,5,11,0.0,0.25,6
ATP-SMI-CDED936B42F4,Hit11,10,53.96180555555556,0,1,8.5,9.5,5,10,0.0,0.25,5
ATP-SMI-874C2DE25FE4,Hit3,8,55.40017361111112,0,1,11.75,13.0,5,16,0.0,0.25,11
ATP-SMI-E9798004BA11,Hit6,5,59.950520833333336,0,0,7.75,6.5,6,12,0.0,0.0,6
ATP-SMI-BF69AB71C1A4,Hit8,11,53.35243055555556,0,0,9.25,8.5,7,13,0.0,0.0,6
ATP-SMI-91E7552C2382,Hit16,12,49.70399305555556,0,0,10.25,10.0,7,14,0.0,0.0,7
ATP-SMI-4417138BF81D,Hit17,14,47.38715277777778,0,0,12.5,11.5,10,17,0.0,0.0,7
ATP-SMI-CFA68A98711F,Hit15,15,46.5859375,0,0,13.5,14.0,11,15,0.0,0.0,4
ATP-SMI-FCA9CDF3313B,Hit9,13,47.61805555555556,0,0,14.25,14.5,12,16,0.0,0.0,4
ATP-SMI-94F73967C042,Hit12,16,45.52430555555556,0,0,15.0,15.5,13,16,0.0,0.0,3
ATP-SMI-15737353FB69,Hit7,17,43.38802083333333,0,0,16.0,17.0,13,17,0.0,0.0,4
