scenario_id,scenario_description,compound_id,historical_alias,weight_binding_score,weight_ATP_target_score,weight_antibacterial_score,weight_druglikeness_score,scenario_score,scenario_rank,default_rank,rank_shift_vs_default,is_top3,is_top5
default,Phase 5 registered default,ATP-SMI-C93E6EC67CDB,Hit2,0.45,0.25,0.15,0.15,73.90711805555556,1,1,0,True,True
default,Phase 5 registered default,ATP-SMI-9DA3213A09E8,Hit1,0.45,0.25,0.15,0.15,71.07465277777777,2,2,0,True,True
default,Phase 5 registered default,ATP-SMI-5D3E7B6B6796,Hit4,0.45,0.25,0.15,0.15,62.53559027777778,3,3,0,True,True
default,Phase 5 registered default,ATP-SMI-96FD6257D8BA,Hit5,0.45,0.25,0.15,0.15,62.49652777777778,4,4,0,False,True
default,Phase 5 registered default,ATP-SMI-E9798004BA11,Hit6,0.45,0.25,0.15,0.15,59.950520833333336,5,5,0,False,True
default,Phase 5 registered default,ATP-SMI-5B36D3E11A3B,Hit13,0.45,0.25,0.15,0.15,57.85243055555556,6,6,0,False,False
default,Phase 5 registered default,ATP-SMI-C3308BEE03AC,Hit10,0.45,0.25,0.15,0.15,57.04774305555556,7,7,0,False,False
default,Phase 5 registered default,ATP-SMI-874C2DE25FE4,Hit3,0.45,0.25,0.15,0.15,55.400173611111114,8,8,0,False,False
default,Phase 5 registered default,ATP-SMI-775D33706F04,Hit14,0.45,0.25,0.15,0.15,54.85243055555556,9,9,0,False,False
default,Phase 5 registered default,ATP-SMI-CDED936B42F4,Hit11,0.45,0.25,0.15,0.15,53.96180555555556,10,10,0,False,False
default,Phase 5 registered default,ATP-SMI-BF69AB71C1A4,Hit8,0.45,0.25,0.15,0.15,53.35243055555556,11,11,0,False,False
default,Phase 5 registered default,ATP-SMI-91E7552C2382,Hit16,0.45,0.25,0.15,0.15,49.70399305555556,12,12,0,False,False
default,Phase 5 registered default,ATP-SMI-FCA9CDF3313B,Hit9,0.45,0.25,0.15,0.15,47.61805555555556,13,13,0,False,False
default,Phase 5 registered default,ATP-SMI-4417138BF81D,Hit17,0.45,0.25,0.15,0.15,47.38715277777778,14,14,0,False,False
default,Phase 5 registered default,ATP-SMI-CFA68A98711F,Hit15,0.45,0.25,0.15,0.15,46.5859375,15,15,0,False,False
default,Phase 5 registered default,ATP-SMI-94F73967C042,Hit12,0.45,0.25,0.15,0.15,45.52430555555556,16,16,0,False,False
default,Phase 5 registered default,ATP-SMI-15737353FB69,Hit7,0.45,0.25,0.15,0.15,43.38802083333333,17,17,0,False,False
A,Binding-emphasis 60/20/10/10,ATP-SMI-C93E6EC67CDB,Hit2,0.6,0.2,0.1,0.1,77.10995370370371,1,1,0,True,True
A,Binding-emphasis 60/20/10/10,ATP-SMI-9DA3213A09E8,Hit1,0.6,0.2,0.1,0.1,73.83101851851852,2,2,0,True,True
A,Binding-emphasis 60/20/10/10,ATP-SMI-5D3E7B6B6796,Hit4,0.6,0.2,0.1,0.1,63.42476851851852,4,3,-1,False,True
A,Binding-emphasis 60/20/10/10,ATP-SMI-96FD6257D8BA,Hit5,0.6,0.2,0.1,0.1,65.26851851851852,3,4,1,True,True
A,Binding-emphasis 60/20/10/10,ATP-SMI-E9798004BA11,Hit6,0.6,0.2,0.1,0.1,61.27430555555556,6,5,-1,False,False
A,Binding-emphasis 60/20/10/10,ATP-SMI-5B36D3E11A3B,Hit13,0.6,0.2,0.1,0.1,49.5162037037037,9,6,-3,False,False
A,Binding-emphasis 60/20/10/10,ATP-SMI-C3308BEE03AC,Hit10,0.6,0.2,0.1,0.1,53.2974537037037,7,7,0,False,False
A,Binding-emphasis 60/20/10/10,ATP-SMI-874C2DE25FE4,Hit3,0.6,0.2,0.1,0.1,62.605324074074076,5,8,3,False,True
A,Binding-emphasis 60/20/10/10,ATP-SMI-775D33706F04,Hit14,0.6,0.2,0.1,0.1,47.8912037037037,11,9,-2,False,False
A,Binding-emphasis 60/20/10/10,ATP-SMI-CDED936B42F4,Hit11,0.6,0.2,0.1,0.1,49.2037037037037,10,10,0,False,False
A,Binding-emphasis 60/20/10/10,ATP-SMI-BF69AB71C1A4,Hit8,0.6,0.2,0.1,0.1,51.1412037037037,8,11,3,False,False
A,Binding-emphasis 60/20/10/10,ATP-SMI-91E7552C2382,Hit16,0.6,0.2,0.1,0.1,42.4224537037037,14,12,-2,False,False
A,Binding-emphasis 60/20/10/10,ATP-SMI-FCA9CDF3313B,Hit9,0.6,0.2,0.1,0.1,46.7037037037037,12,13,1,False,False
