canonical_id,compound_code,title,variant,pose_index,glide_docking_score,glide_gscore,glide_emodel,glide_energy,glide_evdw,glide_ecoul,glide_einternal,glide_eff_state_penalty,glide_ligand_efficiency,glide_ligand_efficiency_sa,glide_ligand_efficiency_ln,quickprop_accpthb,quickprop_acid,quickprop_acxdn_5_sa,quickprop_amide,quickprop_amidine,quickprop_amine,quickprop_ciqplogs,quickprop_cns,quickprop_dip_2_v,quickprop_dipole,quickprop_donorhb,quickprop_ea_ev,quickprop_fisa,quickprop_fosa,quickprop_glob,quickprop_humanoralabsorption,quickprop_in34,quickprop_in56,quickprop_ip_ev,quickprop_jm,quickprop_metab,quickprop_mol_mw,quickprop_nando,quickprop_noncon,quickprop_nonhatm,quickprop_percenthumanoralabsorption,quickprop_pisa,quickprop_psa,quickprop_qplogbb,quickprop_qplogherg,quickprop_qplogkhsa,quickprop_qplogkp,quickprop_qplogpc16,quickprop_qplogpo_w,quickprop_qplogpoct,quickprop_qplogpw,quickprop_qplogs,quickprop_qppcaco,quickprop_qppmdck,quickprop_qppolrz,quickprop_ringatoms,quickprop_rotor,quickprop_rtvfg,quickprop_ruleoffive,quickprop_ruleofthree,quickprop_saamideo,quickprop_safluorine,quickprop_sasa,quickprop_stars,quickprop_volume,quickprop_wpsa,source_file,pose_count,variant_count,source_file_count,source_file_exists,known_internal_overlap,smiles,structure_status,feature_completeness,trace_complete,selection_eligible,docking_priority,emodel_priority,ligand_efficiency_priority,exploitation_score,selected_for_phase8,acquisition_id,priority,wave,selection_arm
ATP-HTVS-0009DAEDE04F,79971,rxn502b____EMOL6884260____EMOL7515103____EMOL712348,79971-2,586,-3.58525470579908,-4.60735470579908,-50.6046984272226,-40.9973608255386,-39.9714088439941,-1.02595198154449,4.35698270797729,1.0221,-0.112039209556221,-0.355702317811539,-0.802836258980599,6.0,0,0.0113954,0,0,0,-8.001,-1,0.0822648,10.458,1.8,1.337,118.266,115.488,0.8277298,1,0,22,8.378,0.003726821262477,7,438.546,5,0,32,100.0,410.804,70.971,-0.978,-6.279,0.652,-1.388,15.124,4.911,22.416,11.601,-6.683,748.838,789.633,45.195,22,9,1,0,2,0.0,0.0,706.414,1,1329.456,61.856,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae,1,1,1,True,False,,pending_export_from_source_pose,1.0,True,True,0.25719534598897736,0.3380281690140845,0.2823025107164728,0.2864666258420086,False,,,,
ATP-HTVS-0015C54A99C8,82625,rxn502b____EMOL5415347____EMOL13728749____EMOL331212734,82625-2,485,-3.84066710724475,-3.91576710724475,-54.6541829923864,-41.409499168396,-33.9884910583496,-7.42100811004639,3.63171243667603,0.0751,-0.109733345921279,-0.358945050521973,-0.843111669054111,8.0,0,0.01542,0,0,1,-6.823,1,0.0171785,4.885,2.0,1.153,96.359,114.158,0.8207178,3,0,22,8.601,0.0027606191400294,7,471.508,6,0,35,95.202,480.398,78.17,-0.369,-7.45,0.471,-2.898,15.345,4.08,24.128,14.467,-5.335,301.321,256.755,48.9,22,8,0,0,1,0.0,42.789,733.703,1,1389.388,42.789,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib,6,6,1,True,False,,pending_export_from_source_pose,1.0,True,True,0.3533374157991427,0.5027556644213105,0.25903245560318433,0.37930189834660133,False,,,,
ATP-HTVS-003E4D952AAC,76899,rxn502b____EMOL5415347____EMOL13728749____EMOL725587,76899-2,368,-4.13615387037502,-4.23375387037502,-54.9996939825513,-41.9147033691406,-34.5492706298828,-7.36543273925781,2.81034374237061,0.0976,-0.121651584422795,-0.394103908076939,-0.913792405152209,8.5,0,0.0152812,0,0,1,-5.251,1,0.0280136,6.383,2.0,0.948,58.014,236.424,0.7892402,3,0,22,8.231,0.0427077024164229,7,452.555,6,0,34,100.0,492.202,78.378,-0.141,-8.016,0.52,-2.149,16.148,4.371,24.993,14.892,-4.876,696.075,369.964,51.621,22,8,1,0,1,0.0,0.0,786.64,1,1454.554,0.0,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae,6,6,1,True,False,,pending_export_from_source_pose,1.0,True,True,0.46601347213717087,0.5205143906919779,0.38885486834047767,0.4669320269442743,False,,,,
ATP-HTVS-005EEA24BFEA,69987,rxn502b____EMOL5415347____EMOL44466703____EMOL24630243,69987-2,298,-4.35640294669943,-4.41650294669943,-56.6134278699844,-43.1397037506104,-34.325366973877,-8.8143367767334,6.22030019760132,0.0601,-0.128129498432336,-0.415089834725242,-0.962451603889607,8.0,0,0.0111985,0,0,1,-6.411,1,0.0015474,1.468,1.0,1.083,90.483,181.161,0.8439555,3,0,22,8.822,0.0093106598966779,5,449.554,6,0,34,95.981,442.735,70.319,-0.367,-6.895,0.48,-2.922,15.064,4.042,22.169,12.645,-4.762,342.57,171.929,48.643,22,8,0,0,0,0.0,0.0,714.38,0,1391.956,0.0,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae,4,4,1,True,False,,pending_export_from_source_pose,1.0,True,True,0.5597060624617268,0.5848132271892222,0.47030006123698714,0.5493570116350275,False,,,,
ATP-HTVS-0063E4174F09,34081,m_270004bda____24170338____19565760,34081-1,1397,-1.03468293307069,-1.04348293307069,-36.9869611189895,-35.0014126896858,-34.7938270568848,-0.207585632801056,0.750952243804932,0.0088,-0.0383215901137294,-0.114964770214886,-0.240857128737544,4.5,0,0.0069444,0,0,1,-7.286,2,0.0317779,6.109,1.0,0.995,52.493,43.795,0.8306915,3,0,18,8.948,0.0023529077990592,7,488.754,3,2,27,100.0,422.9,40.298,0.65,-7.015,0.855,-2.868,13.612,4.869,19.406,10.013,-5.45,785.259,2140.062,43.596,23,2,0,0,1,0.0,0.0,648.007,0,1174.307,128.82,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib,2,2,1,True,False,,pending_export_from_source_pose,1.0,True,True,0.01224739742804654,0.043478260869565216,0.01653398652786283,0.0224739742804654,False,,,,
ATP-HTVS-0079D40D2121,29921,m_2230bbb____22404310____7471132,29921-4,686,-3.34092399123274,-4.33072399123274,-42.5313617909771,-38.5066194534302,-30.6699752807617,-7.83664417266846,14.1512975692749,0.9898,-0.111364133041091,-0.346034253790339,-0.759094333090556,4.2,0,0.0095093,0,0,1,-6.187,1,0.0025552,1.774,2.0,0.904,59.133,159.273,0.8895235,3,0,22,8.782,0.244282522582884,5,416.949,3,0,30,100.0,370.79,43.204,0.069,-5.814,0.773,-2.598,13.447,4.739,19.098,9.461,-3.635,679.266,563.304,41.533,22,8,0,0,0,0.0,0.0,624.622,0,1231.443,35.425,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib,1,1,1,True,False,,pending_export_from_source_pose,1.0,True,True,0.20453153704837723,0.11390079608083283,0.2761788120024495,0.19167176974892836,False,,,,
ATP-HTVS-007D6F34F923,30817,m_282030aaa____21928560____23157418____21973156,30817-2,628,-3.4850388695678,-3.5233388695678,-45.0104956361892,-34.6082963943481,-25.6252098083496,-8.98308658599854,3.32747554779053,0.0383,-0.105607238471752,-0.338738842499398,-0.775054600026337,6.7,0,0.0158682,0,0,1,-5.64,0,0.0103495,3.822,3.0,0.858,85.222,253.375,0.8320841,3,0,22,8.307,0.0984284956964846,6,441.575,6,0,33,100.0,392.725,66.612,-0.522,-6.848,0.59,-2.713,15.32,4.388,23.677,13.297,-3.939,384.276,194.661,47.02,22,11,0,0,0,0.0,0.0,731.322,0,1411.452,0.0,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib,4,4,1,True,False,,pending_export_from_source_pose,1.0,True,True,0.2314758113900796,0.15737905695039803,0.2222902633190447,0.20740967544396816,False,,,,
ATP-HTVS-00C8034698A8,34403,m_270004bbb____15775648____24720718,34403-1,18,-5.81163963281027,-5.86043963281027,-67.4370508101919,-44.6087369918823,-31.7931613922119,-12.8155755996704,5.01027822494507,0.0488,-0.207558558314652,-0.630270028496622,-1.34149706440688,5.5,0,0.007465,0,0,2,-3.732,2,0.006135,2.827,1.0,0.63,24.707,285.761,0.7828549,3,0,20,8.211,0.0038193300790659,6,374.485,5,0,28,100.0,426.303,40.131,0.67,-8.531,0.77,-3.926,13.826,4.419,19.174,9.898,-4.065,359.256,200.242,45.548,20,7,0,0,0,0.0,0.0,736.771,0,1302.485,0.0,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae,2,2,1,True,False,,pending_export_from_source_pose,1.0,True,True,0.9626454378444581,0.906307409675444,0.9791794243723209,0.9490508266993265,False,,,,
ATP-HTVS-00F86A54285D,38369,m_282030aaa____21930538____22360182____21973156,38369-1,464,-3.90724208104371,-3.96904208104371,-49.0435976915142,-35.0066246986389,-28.3399505615234,-6.66667413711548,5.92466402053833,0.0618,-0.122101315032616,-0.387647511411122,-0.874938009342227,6.7,0,0.0157261,0,0,1,-5.363,0,0.0055137,2.761,3.0,0.68,51.795,189.747,0.8134123,3,0,22,8.115,0.389478813833655,5,427.548,6,0,32,100.0,496.388,67.657,-0.163,-7.645,0.543,-1.828,15.609,4.547,23.721,14.011,-4.213,797.305,428.448,47.503,22,10,0,0,0,0.0,0.0,737.93,1,1382.743,0.0,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib,3,3,1,True,False,,pending_export_from_source_pose,1.0,True,True,0.3759951010410288,0.2737293325168402,0.3925290875688916,0.3486221677893448,False,,,,
ATP-HTVS-011A966B3F21,59203,m_269862bba____21537480____13192834,59203-1,28,-5.69314528862896,-5.75904528862896,-56.459517369037,-37.8285942077637,-26.6978302001953,-11.1307640075684,4.73460388183594,0.0659,-0.196315354780309,-0.603142966955043,-1.30358590538773,4.7,0,0.0104242,0,0,1,-5.321,1,0.0076402,3.064,2.0,0.274,49.123,175.613,0.8701069,3,0,21,8.804,1.05877263122954,8,386.493,4,0,29,100.0,412.895,51.259,-0.013,-6.329,0.628,-2.169,13.364,4.502,19.055,9.97,-3.393,845.215,456.341,41.185,21,9,0,0,1,0.0,0.0,637.631,0,1228.757,0.0,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae,2,2,1,True,False,,pending_export_from_source_pose,1.0,True,True,0.9491733006736068,0.5756276791181874,0.9614206981016534,0.8395590936925903,False,,,,
