acquisition_id,acquisition_order,priority,wave,selection_arm,arm_rank,selection_objective,canonical_id,compound_code,title,variant,pose_index,source_file,source_file_exists,pose_count,variant_count,smiles,structure_status,feature_completeness,glide_docking_score,glide_emodel,glide_energy,glide_ligand_efficiency,docking_priority,emodel_priority,ligand_efficiency_priority,exploitation_score,quickprop_mol_mw,quickprop_psa,quickprop_qplogpo_w,quickprop_qplogs,quickprop_qplogherg,quickprop_percenthumanoralabsorption,quickprop_stars,known_internal_overlap,next_required_action,mmgbsa_label_status,experimental_activity_status
ATP-ACQ-0001,1,P0,1,exploitation,1,test whether strongest HTVS multi-score candidates retain favorable same-protocol MMGBSA,ATP-HTVS-66618B00A972,44098,m_270004bbb____24792670____7548988,44098-1,2,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz,True,5,5,,pending_export_from_source_pose,1.0,-6.72891028700809,-91.0861709159544,-58.0387268066406,-0.224297009566936,0.9987752602571953,0.9987752602571953,0.9938763012859767,0.9977954684629516,429.551,45.182,4.709,-3.854,-7.774,100.0,1,False,export exact selected pose to SDF/SMILES; verify identity; then run frozen same-protocol MMGBSA,pending,unknown
ATP-ACQ-0002,2,P0,1,descriptor_diversity,1,expand physicochemical and docking-feature coverage before SMILES/scaffold extraction,ATP-HTVS-40E764CABCB1,58370,m_66bab____89518____10970556,58370-1,346,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz,True,2,2,,pending_export_from_source_pose,1.0,-4.26714661104976,-42.7504481163411,-34.0018615722656,-0.17068586444199,0.5192896509491733,0.11941212492345377,0.8677281077770974,0.4690140845070423,348.831,38.75,4.668,-5.382,-5.832,100.0,0,False,export exact selected pose to SDF/SMILES; verify identity; then run frozen same-protocol MMGBSA,pending,unknown
ATP-ACQ-0003,3,P0,1,score_calibration,1,add medium and weak docking controls to reduce Top-candidate selection bias,ATP-HTVS-442C36D59863,49602,m_270004bbb____21660890____8300602,49602-1,47,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz,True,1,1,,pending_export_from_source_pose,1.0,-5.63752501034488,-72.8266453918685,-49.2134685516357,-0.176172656573278,0.9387630128597673,0.9632578077158603,0.8928352725045928,0.9369259032455604,425.575,39.092,4.492,-3.823,-7.387,95.7,0,False,export exact selected pose to SDF/SMILES; verify identity; then run frozen same-protocol MMGBSA,pending,unknown
ATP-ACQ-0004,4,P0,1,exploitation,2,test whether strongest HTVS multi-score candidates retain favorable same-protocol MMGBSA,ATP-HTVS-780990BE0E68,83747,rxn503b____EMOL519605____EMOL7515103____EMOL317509042,83747-3,1,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae,True,4,4,,pending_export_from_source_pose,1.0,-6.80803117503607,-92.0530939366025,-59.1729354858398,-0.206303975001093,0.9993876301285977,0.9993876301285977,0.9779546846295162,0.9951010410287813,439.488,80.298,4.844,-6.489,-8.837,94.282,2,False,export exact selected pose to SDF/SMILES; verify identity; then run frozen same-protocol MMGBSA,pending,unknown
ATP-ACQ-0005,5,P0,1,descriptor_diversity,2,expand physicochemical and docking-feature coverage before SMILES/scaffold extraction,ATP-HTVS-837D7A211A0E,67522,m_282030aaa____21928106____22360182____21950844,67522-1,982,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz,True,1,1,,pending_export_from_source_pose,1.0,-2.48290298083652,-12.7737663363053,-17.943564414978,-0.0730265582598975,0.11941212492345377,0.000612369871402327,0.10777709736680956,0.08144519289650949,455.602,50.967,4.949,-3.764,-6.439,100.0,0,False,export exact selected pose to SDF/SMILES; verify identity; then run frozen same-protocol MMGBSA,pending,unknown
ATP-ACQ-0006,6,P0,1,score_calibration,2,add medium and weak docking controls to reduce Top-candidate selection bias,ATP-HTVS-45A004EDB829,35234,m_2230bbb____8627194____7471132,35234-2,48,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz,True,3,3,,pending_export_from_source_pose,1.0,-5.63462685379644,-62.9329991873774,-46.0133800506592,-0.194297477717119,0.9381506429883649,0.8150642988364972,0.9571341090018372,0.9050214329454991,406.886,45.803,4.873,-4.981,-7.6,100.0,1,False,export exact selected pose to SDF/SMILES; verify identity; then run frozen same-protocol MMGBSA,pending,unknown
ATP-ACQ-0007,7,P0,1,exploitation,3,test whether strongest HTVS multi-score candidates retain favorable same-protocol MMGBSA,ATP-HTVS-D6043925B579,66273,m_270004bbb____16500566____7548060,66273-2,1,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib,True,1,1,,pending_export_from_source_pose,1.0,-6.72217226588382,-78.00728371634,-50.1546363830566,-0.216844266641413,0.998162890385793,0.9889773423147581,0.9883649724433557,0.993447642375995,419.473,48.172,4.992,-4.429,-6.936,100.0,1,False,export exact selected pose to SDF/SMILES; verify identity; then run frozen same-protocol MMGBSA,pending,unknown
ATP-ACQ-0008,8,P0,1,descriptor_diversity,3,expand physicochemical and docking-feature coverage before SMILES/scaffold extraction,ATP-HTVS-43E54E69D2FC,49761,m_2230bdc____14772912____666388,49761-2,1331,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib,True,2,2,,pending_export_from_source_pose,1.0,-1.47586439099717,-33.2876245176287,-30.6318409442902,-0.0508918755516265,0.03306797305572566,0.017758726270667484,0.04225352112676056,0.03031230863441519,433.284,42.628,4.852,-5.515,-6.505,100.0,1,False,export exact selected pose to SDF/SMILES; verify identity; then run frozen same-protocol MMGBSA,pending,unknown
ATP-ACQ-0009,9,P0,1,score_calibration,3,add medium and weak docking controls to reduce Top-candidate selection bias,ATP-HTVS-1402A7ED8177,450,YAS_R004____OTV1509977____OTV7113231893____OTV7020431351,450-1,112,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz,True,3,3,,pending_export_from_source_pose,1.0,-5.06327281392812,-64.8546970376858,-46.6774616241455,-0.158227275435254,0.840783833435395,0.863441518677281,0.7783221065523577,0.8350887936313532,431.509,55.546,4.877,-4.275,-6.591,100.0,0,False,export exact selected pose to SDF/SMILES; verify identity; then run frozen same-protocol MMGBSA,pending,unknown
ATP-ACQ-0010,10,P0,1,exploitation,4,test whether strongest HTVS multi-score candidates retain favorable same-protocol MMGBSA,ATP-HTVS-6EF9F712D3BB,38274,m_270004bbb____8288884____20640242,38274-1,10,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz,True,4,4,,pending_export_from_source_pose,1.0,-6.27229934947262,-79.2707187193982,-48.8943605422974,-0.232307383313801,0.9902020820575628,0.9920391916717698,0.9969381506429884,0.99210042865891,426.355,39.448,4.78,-4.652,-8.532,100.0,0,False,export exact selected pose to SDF/SMILES; verify identity; then run frozen same-protocol MMGBSA,pending,unknown
ATP-ACQ-0011,11,P0,1,descriptor_diversity,4,expand physicochemical and docking-feature coverage before SMILES/scaffold extraction,ATP-HTVS-1952D56C5A08,95489,rxn502b____EMOL5415347____EMOL7515103____EMOL324170366,95489-1,625,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib,True,3,3,,pending_export_from_source_pose,1.0,-3.49607907335307,-56.0259912133187,-44.4663207530975,-0.0998879735243735,0.23270055113288426,0.5572565829761176,0.19105939987752601,0.32173913043478264,469.585,91.409,4.007,-5.41,-8.622,92.728,5,False,export exact selected pose to SDF/SMILES; verify identity; then run frozen same-protocol MMGBSA,pending,unknown
