canonical_id,compound_code,title,variant,pose_index,glide_docking_score,glide_gscore,glide_emodel,glide_energy,glide_evdw,glide_ecoul,glide_einternal,glide_eff_state_penalty,glide_ligand_efficiency,glide_ligand_efficiency_sa,glide_ligand_efficiency_ln,quickprop_accpthb,quickprop_acid,quickprop_acxdn_5_sa,quickprop_amide,quickprop_amidine,quickprop_amine,quickprop_ciqplogs,quickprop_cns,quickprop_dip_2_v,quickprop_dipole,quickprop_donorhb,quickprop_ea_ev,quickprop_fisa,quickprop_fosa,quickprop_glob,quickprop_humanoralabsorption,quickprop_in34,quickprop_in56,quickprop_ip_ev,quickprop_jm,quickprop_metab,quickprop_mol_mw,quickprop_nando,quickprop_noncon,quickprop_nonhatm,quickprop_percenthumanoralabsorption,quickprop_pisa,quickprop_psa,quickprop_qplogbb,quickprop_qplogherg,quickprop_qplogkhsa,quickprop_qplogkp,quickprop_qplogpc16,quickprop_qplogpo_w,quickprop_qplogpoct,quickprop_qplogpw,quickprop_qplogs,quickprop_qppcaco,quickprop_qppmdck,quickprop_qppolrz,quickprop_ringatoms,quickprop_rotor,quickprop_rtvfg,quickprop_ruleoffive,quickprop_ruleofthree,quickprop_saamideo,quickprop_safluorine,quickprop_sasa,quickprop_stars,quickprop_volume,quickprop_wpsa,source_file,pose_count,variant_count,source_file_count,source_file_exists,known_internal_overlap,smiles,phase8_v1_structure_status,feature_completeness,trace_complete,selection_eligible,docking_priority,emodel_priority,ligand_efficiency_priority,exploitation_score,selected_in_phase8_v1,phase8_v1_acquisition_id,phase8_v1_priority,phase8_v1_wave,phase8_v1_selection_arm,canonical_smiles,scaffold,molecular_formula,formal_charge,heavy_atom_count,smiles_sha256,max_similarity_to_internal,nearest_internal_compound_id,scaffold_seen_in_internal,selection_arm_v2,selection_objective_v2,arm_rank_v2,wave_v2,priority_v2,docking_decile,acquisition_order_v2,acquisition_id_v2,structure_status_v2,mmgbsa_label_status,experimental_activity_status,next_required_action
ATP-HTVS-66618B00A972,44098,m_270004bbb____24792670____7548988,44098-1,2,-6.72891028700809,-6.96511028700809,-91.0861709159544,-58.0387268066406,-39.7754745483398,-18.2632522583008,12.5673027038574,0.2362,-0.224297009566936,-0.696942958324481,-1.52888173455807,6.5,0,0.0085348,0,0,2,-4.268,2,0.0054665,2.748,1.0,0.818,18.178,371.445,0.7875209,3,0,17,8.675,0.0071453683930328,9,429.551,5,0,30,100.0,283.4,45.182,0.72,-7.774,0.607,-3.925,13.486,4.709,19.518,9.075,-3.854,414.303,713.905,44.761,17,11,0,0,1,0.0,46.972,761.589,1,1381.105,88.566,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz,5,5,1,True,False,,pending_export_from_source_pose,1.0,True,True,0.9987752602571952,0.9987752602571952,0.9938763012859768,0.9977954684629516,True,ATP-ACQ-0001,P0,1.0,exploitation,CC[N@@H+](C)Cc1cc(F)ccc1C[NH2+]Cc1csc(COc2ccc(OC)cc2)n1,c1ccc(C[NH2+]Cc2csc(COc3ccccc3)n2)cc1,C23H30FN3O2S+2,2.0,30.0,b1f1c4077dd92869d16ffe95949c30cf97b0cae54281c26f84869b933d3962db,0.23170731707317074,ATP-SMI-91E7552C2382,False,exploitation,test whether strongest HTVS multi-score candidates retain favorable same-protocol MMGBSA,1,1,P0,,1,ATP-ACQ2-0001,extracted_and_rdkit_validated,pending,unknown,run frozen same-protocol MMGBSA using the supplied 3D Maestro-derived SDF pose
ATP-HTVS-F0EA8E73CD83,77665,rxn512b____EMOL49832880____EMOL44846536____EMOL2873214,77665-1,44,-5.33587701286716,-5.38517701286716,-67.0791932089223,-44.0188245773315,-28.5479621887207,-15.4708623886108,6.70565032958984,0.0493,-0.172125064931199,-0.540710348147549,-1.20340379139338,7.0,0,0.0148367,0,0,3,-3.845,0,0.0054474,2.82,3.0,0.64,108.461,277.334,0.7614493,2,0,17,8.208,0.0001502183911132,7,477.451,5,0,31,69.798,265.333,71.537,-0.082,-8.836,0.647,-5.749,16.52,3.779,24.688,13.369,-3.753,14.39,55.558,48.367,17,10,0,0,2,0.0,0.0,817.189,0,1459.477,166.06,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib,2,2,1,True,False,,pending_export_from_source_pose,1.0,True,True,0.900796080832823,0.9020208205756276,0.8769136558481323,0.8963870177587262,False,,,,,C[NH+](C)Cc1cccc(CNc2cc(C(=O)N(CC[NH3+])c3ccc(Cl)cc3)sc2Cl)c1,O=C(Nc1ccccc1)c1cc(NCc2ccccc2)cs1,C23H28Cl2N4OS+2,2.0,31.0,3079d8ca7ef25cfaeb1e3234a4fe28d4acda555d6cc34ba99ed8be1672c665b7,0.7580645161290323,ATP-SMI-94F73967C042,True,local_structure_bridge,connect the existing 17-candidate chemical series to nearby HTVS structures across distinct scaffolds,1,1,P0,,2,ATP-ACQ2-0002,extracted_and_rdkit_validated,pending,unknown,run frozen same-protocol MMGBSA using the supplied 3D Maestro-derived SDF pose
ATP-HTVS-FDB0F1EC6F74,93059,rxn512b____EMOL525124____EMOL49775718____EMOL6185419,93059-2,55,-5.45391423146877,-5.46271423146877,-50.4792388263007,-40.0003280639648,-35.4577369689941,-4.5425910949707,6.76791715621948,0.0088,-0.165270128226326,-0.53010960939091,-1.21292228622207,7.5,0,0.0135511,0,0,1,-5.489,1,0.0103254,3.839,2.0,0.734,104.098,207.591,0.7832438,3,0,18,8.964,0.0002868193238476,7,463.569,5,2,33,95.856,411.954,76.535,-0.386,-7.73,0.718,-3.473,15.882,4.416,24.429,14.127,-5.735,254.47,262.645,51.046,23,6,0,0,2,0.0,16.383,782.711,0,1427.251,59.068,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae,2,2,1,True,False,,pending_export_from_source_pose,1.0,True,True,0.9191671769748928,0.3300673606858542,0.8303735456215554,0.7246785058175138,False,,,,,CSCCNC(=O)c1cccc(CN2CC(=O)Nc3ccccc3[C@@H]2c2ccccc2)c1F,O=C1CN(Cc2ccccc2)C(c2ccccc2)c2ccccc2N1,C26H26FN3O2S,0.0,33.0,f4fe6eaec8952c7e362d4b2971f502d016c9db6294f3f456e2b711814995f5cc,0.1568627450980392,ATP-SMI-C93E6EC67CDB,False,scaffold_score_exploration,cover unseen scaffolds across docking-score deciles to reduce selection bias,1,1,P0,0.0,3,ATP-ACQ2-0003,extracted_and_rdkit_validated,pending,unknown,run frozen same-protocol MMGBSA using the supplied 3D Maestro-derived SDF pose
ATP-HTVS-780990BE0E68,83747,rxn503b____EMOL519605____EMOL7515103____EMOL317509042,83747-3,1,-6.80803117503607,-7.44063117503607,-92.0530939366025,-59.1729354858398,-46.4687423706055,-12.7041931152344,6.27807664871216,0.6326,-0.206303975001093,-0.661727081459363,-1.51407088322914,5.75,0,0.0121023,0,0,1,-5.948,-1,0.0746199,10.335,3.0,1.199,128.164,128.635,0.746458,1,0,22,8.394,6.41336551192e-05,6,439.488,5,0,33,94.282,519.165,80.298,-0.938,-8.837,0.866,-3.347,16.818,4.844,25.765,14.412,-6.489,150.459,127.748,50.957,22,8,0,0,1,0.0,46.958,822.923,2,1431.526,46.958,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae,4,4,1,True,False,,pending_export_from_source_pose,1.0,True,True,0.9993876301285975,0.9993876301285975,0.9779546846295162,0.9951010410287812,True,ATP-ACQ-0004,P0,1.0,exploitation,C[C@@H]([NH2+]CC#Cc1cnc(NC(=O)c2cccc(O)c2)c2ccccc12)c1cccc(F)c1,O=C(Nc1ncc(C#CC[NH2+]Cc2ccccc2)c2ccccc12)c1ccccc1,C27H23FN3O2+,1.0,33.0,3695393c714d5eac85e6e41c832b335b5b7ff98256b32d075ce008b041c4352c,0.2441860465116279,ATP-SMI-CDED936B42F4,False,exploitation,test whether strongest HTVS multi-score candidates retain favorable same-protocol MMGBSA,2,1,P0,,4,ATP-ACQ2-0004,extracted_and_rdkit_validated,pending,unknown,run frozen same-protocol MMGBSA using the supplied 3D Maestro-derived SDF pose
ATP-HTVS-D78134F4C173,91073,rxn512b____EMOL509166____EMOL720738____EMOL2873214,91073-1,283,-4.407585640984,-4.450685640984,-55.5775741619544,-43.5440769195557,-35.2071647644043,-8.33691215515137,8.63568210601807,0.0431,-0.151985711758069,-0.466948258974037,-1.00922534505698,5.5,0,0.010853,0,0,2,-4.156,1,0.0442353,7.715,2.0,0.659,60.147,276.83,0.8224212,3,0,17,8.408,0.0029060723272019,7,407.573,4,0,29,92.144,341.727,53.848,0.318,-7.487,0.772,-4.685,14.259,4.351,21.374,10.552,-3.462,165.701,140.069,45.178,17,9,0,0,1,0.0,0.0,716.684,0,1345.505,37.979,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib,4,4,1,True,False,,pending_export_from_source_pose,1.0,True,True,0.5799142682180036,0.5419473361910594,0.7281077770973668,0.5981628903857931,False,,,,,CC[C@@H](NC(=O)c1cc(NCc2cccc(C[NH+](C)C)c2)cs1)c1ccccc1,O=C(NCc1ccccc1)c1cc(NCc2ccccc2)cs1,C24H30N3OS+,1.0,29.0,005c99ddf00bd1bbafa957f1ac0e7656575f79e3c0a491171a96016be760ecce,0.7166666666666667,ATP-SMI-5B36D3E11A3B,True,local_structure_bridge,connect the existing 17-candidate chemical series to nearby HTVS structures across distinct scaffolds,2,1,P0,,5,ATP-ACQ2-0005,extracted_and_rdkit_validated,pending,unknown,run frozen same-protocol MMGBSA using the supplied 3D Maestro-derived SDF pose
ATP-HTVS-77ED8C900CC0,79747,rxn502b____EMOL535380____EMOL30488121____EMOL8314610,79747-4,143,-4.90849767233527,-5.38649767233527,-63.7422871690515,-48.980019569397,-37.8883056640625,-11.0917139053345,8.76753807067871,0.478,-0.153390552260477,-0.486984647477943,-1.09914642942901,6.7,0,0.0180058,0,0,0,-7.564,-2,0.0567686,8.777,4.0,1.089,118.169,91.618,0.796478,3,0,22,7.787,0.0921158433908106,8,491.386,6,0,32,100.0,504.422,88.064,-1.147,-7.231,0.424,-1.056,16.391,4.371,26.206,16.228,-5.671,750.425,529.527,47.188,22,9,1,0,1,0.0,0.0,744.204,2,1356.91,29.996,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae,8,8,1,True,False,,pending_export_from_source_pose,1.0,True,True,0.7899571341090018,0.8358848744641764,0.7372933251684017,0.7932026944274341,False,,,,,O=C(Nc1c[nH+]c2ccccc2c1Nc1ccc(NCCO)cc1)[C@@H](Br)c1ccccc1,O=C(Cc1ccccc1)Nc1c[nH+]c2ccccc2c1Nc1ccccc1,C25H24BrN4O2+,1.0,32.0,8cd5511443b636c43f9f4ee9e6d00d6e76806accd08eecaeded7237bd7aa2f40,0.2,ATP-SMI-4417138BF81D,False,scaffold_score_exploration,cover unseen scaffolds across docking-score deciles to reduce selection bias,2,1,P0,1.0,6,ATP-ACQ2-0006,extracted_and_rdkit_validated,pending,unknown,run frozen same-protocol MMGBSA using the supplied 3D Maestro-derived SDF pose
ATP-HTVS-D6043925B579,66273,m_270004bbb____16500566____7548060,66273-2,1,-6.72217226588382,-6.79327226588382,-78.00728371634,-50.1546363830566,-34.8196067810059,-15.3350296020508,6.16410493850708,0.0711,-0.216844266641413,-0.681190383029604,-1.5160558557959,4.7,0,0.0098611,0,0,1,-6.108,1,0.0236767,5.495,2.0,0.588,55.247,113.124,0.8437978,3,0,23,8.73,0.0889944291013526,4,419.473,4,0,31,100.0,450.805,48.172,0.097,-6.936,0.782,-2.244,13.716,4.992,20.598,10.597,-4.429,739.422,788.996,44.055,23,8,0,0,0,0.0,54.866,674.043,1,1275.385,54.866,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib,1,1,1,True,False,,pending_export_from_source_pose,1.0,True,True,0.998162890385793,0.988977342314758,0.9883649724433556,0.993447642375995,True,ATP-ACQ-0007,P0,1.0,exploitation,O[C@H](C[NH2+]Cc1cn(Cc2ccccc2)nc1-c1ccccc1)c1ccc(F)cc1F,c1ccc(CC[NH2+]Cc2cn(Cc3ccccc3)nc2-c2ccccc2)cc1,C25H24F2N3O+,1.0,31.0,3d2472c3aebdf4c4069a7387e19e4b365be17af87e24938cdce2a70cc24bc7ee,0.45714285714285713,ATP-SMI-15737353FB69,False,exploitation,test whether strongest HTVS multi-score candidates retain favorable same-protocol MMGBSA,3,1,P0,,7,ATP-ACQ2-0007,extracted_and_rdkit_validated,pending,unknown,run frozen same-protocol MMGBSA using the supplied 3D Maestro-derived SDF pose
ATP-HTVS-1C066C79A7D0,44515,m_270004bbb____23846038____24720040,44515-2,545,-3.68331279187064,-3.80961279187064,-40.2279779495853,-30.9432163238525,-19.2518367767334,-11.6913795471191,10.4026517868042,0.1263,-0.118816541673246,-0.373247984769149,-0.830699914547526,5.75,0,0.0100471,0,0,2,-4.382,1,0.0061381,2.99,2.0,0.175,49.007,338.44,0.7676328,3,0,18,9.029,0.0023009852817455,9,420.55,5,0,31,100.0,421.914,53.009,0.083,-8.756,0.864,-3.91,15.732,4.941,21.694,10.816,-4.352,211.332,112.844,48.444,18,12,0,0,1,0.0,0.0,809.361,1,1456.117,0.0,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae,5,5,1,True,False,,pending_export_from_source_pose,1.0,True,True,0.286589099816289,0.0789957134109001,0.3570116350275566,0.2383955909369259,False,,,,,COc1cc(C[NH2+]C[C@@H](C[NH+](C)C)c2ccccc2)cc(O)c1OCc1ccccc1,c1ccc(CC[NH2+]Cc2ccc(OCc3ccccc3)cc2)cc1,C26H34N2O3+2,2.0,31.0,561ee765c6484f9c34d2a2c1541df86e36f71723195c8356328cda3af19d5ceb,0.6551724137931034,ATP-SMI-91E7552C2382,False,local_structure_bridge,connect the existing 17-candidate chemical series to nearby HTVS structures across distinct scaffolds,3,1,P0,,8,ATP-ACQ2-0008,extracted_and_rdkit_validated,pending,unknown,run frozen same-protocol MMGBSA using the supplied 3D Maestro-derived SDF pose
ATP-HTVS-84C0F320BB18,20865,N-ArylationHeterocycle____206845508____45772004,20865-1,132,-4.87355304658918,-4.91845304658918,-51.1261141694905,-40.0577850341797,-31.7986373901367,-8.25914764404297,3.21510028839111,0.0449,-0.174055465949614,-0.528534907810215,-1.12495913688804,4.2,0,0.0069026,0,0,0,-6.343,0,0.0076536,2.939,1.0,1.067,90.32,41.332,0.8617113,3,0,21,8.588,0.467123459939288,1,371.413,4,0,28,100.0,429.77,53.424,-0.554,-5.819,0.589,-0.998,12.332,4.678,16.9,8.795,-4.902,1378.453,1266.825,38.633,21,7,0,0,0,0.0,47.043,608.465,0,1128.883,47.043,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib,1,1,1,True,False,,pending_export_from_source_pose,1.0,True,True,0.7783221065523577,0.3563992651561543,0.8830373545621556,0.6726883037354563,False,,,,,O/N=C(/Cc1nc2ccccc2n1/C=C/c1ccc(F)cc1)c1ccccc1,N=C(Cc1nc2ccccc2n1C=Cc1ccccc1)c1ccccc1,C23H18FN3O,0.0,28.0,82fe2ee94fd6157eb88df13bf755c4c0388c47f39f3867e3afbd5f40a8baed17,0.1686746987951807,ATP-SMI-4417138BF81D,False,scaffold_score_exploration,cover unseen scaffolds across docking-score deciles to reduce selection bias,3,1,P0,2.0,9,ATP-ACQ2-0009,extracted_and_rdkit_validated,pending,unknown,run frozen same-protocol MMGBSA using the supplied 3D Maestro-derived SDF pose
ATP-HTVS-6EF9F712D3BB,38274,m_270004bbb____8288884____20640242,38274-1,10,-6.27229934947262,-6.48629934947262,-79.2707187193982,-48.8943605422974,-35.9345397949219,-12.9598207473755,2.01791906356812,0.214,-0.232307383313801,-0.696922149175755,-1.46008788162076,5.0,0,0.0066769,0,0,2,-4.873,2,0.005916,2.775,1.0,0.435,37.649,250.8,0.7700374,3,0,18,9.069,0.0005712110642876,6,426.355,4,0,27,100.0,383.013,39.448,0.645,-8.532,0.825,-4.221,14.208,4.78,18.809,9.035,-4.652,270.814,391.596,44.473,18,8,0,0,0,0.0,0.0,748.852,0,1302.01,77.39,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz,4,4,1,True,False,,pending_export_from_source_pose,1.0,True,True,0.9902020820575628,0.9920391916717698,0.9969381506429884,0.99210042865891,True,ATP-ACQ-0010,P0,1.0,exploitation,C[NH+](C)Cc1ccc(C[NH2+]Cc2ccc(Oc3ccc(Br)cc3)nc2)cc1,c1ccc(C[NH2+]Cc2ccc(Oc3ccccc3)nc2)cc1,C22H26BrN3O+2,2.0,27.0,d97a48efe0fc958a1df80d1f66ea30e72c65ccf0cc7600e3c01b0f3ab43de357,0.30303030303030304,ATP-SMI-91E7552C2382,False,exploitation,test whether strongest HTVS multi-score candidates retain favorable same-protocol MMGBSA,4,1,P0,,10,ATP-ACQ2-0010,extracted_and_rdkit_validated,pending,unknown,run frozen same-protocol MMGBSA using the supplied 3D Maestro-derived SDF pose
