acquisition_id,acquisition_order,priority,wave,selection_arm,arm_rank,selection_objective,canonical_id,compound_code,title,variant,pose_index,source_file,source_file_exists,pose_count,variant_count,feature_completeness,glide_docking_score,glide_emodel,glide_energy,glide_ligand_efficiency,docking_priority,emodel_priority,ligand_efficiency_priority,exploitation_score,quickprop_mol_mw,quickprop_psa,quickprop_qplogpo_w,quickprop_qplogs,quickprop_qplogherg,quickprop_percenthumanoralabsorption,quickprop_stars,known_internal_overlap,next_required_action,mmgbsa_label_status,experimental_activity_status,canonical_smiles,canonical_smiles_nonisomeric,scaffold,molecular_formula,formal_charge,heavy_atom_count,atom_count_with_h,conformer_count,smiles_sha256,structure_join_status,structure_status
ATP-ACQ-0001,1,P0,1,exploitation,1,test whether strongest HTVS multi-score candidates retain favorable same-protocol MMGBSA,ATP-HTVS-66618B00A972,44098,m_270004bbb____24792670____7548988,44098-1,2,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz,True,5,5,1.0,-6.72891028700809,-91.0861709159544,-58.0387268066406,-0.224297009566936,0.9987752602571952,0.9987752602571952,0.9938763012859768,0.9977954684629516,429.551,45.182,4.709,-3.854,-7.774,100.0,1,False,export exact selected pose to SDF/SMILES; verify identity; then run frozen same-protocol MMGBSA,pending,unknown,CC[N@@H+](C)Cc1cc(F)ccc1C[NH2+]Cc1csc(COc2ccc(OC)cc2)n1,CC[NH+](C)Cc1cc(F)ccc1C[NH2+]Cc1csc(COc2ccc(OC)cc2)n1,c1ccc(C[NH2+]Cc2csc(COc3ccccc3)n2)cc1,C23H30FN3O2S+2,2.0,30.0,60.0,1.0,b1f1c4077dd92869d16ffe95949c30cf97b0cae54281c26f84869b933d3962db,matched,extracted_and_rdkit_validated
ATP-ACQ-0002,2,P0,1,descriptor_diversity,1,expand physicochemical and docking-feature coverage before SMILES/scaffold extraction,ATP-HTVS-40E764CABCB1,58370,m_66bab____89518____10970556,58370-1,346,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz,True,2,2,1.0,-4.26714661104976,-42.7504481163411,-34.0018615722656,-0.17068586444199,0.5192896509491733,0.1194121249234537,0.8677281077770974,0.4690140845070423,348.831,38.75,4.668,-5.382,-5.832,100.0,0,False,export exact selected pose to SDF/SMILES; verify identity; then run frozen same-protocol MMGBSA,pending,unknown,O=C1c2ccccc2N[C@@H](c2ccc(Cl)cc2)N1Cc1ccccc1,O=C1c2ccccc2NC(c2ccc(Cl)cc2)N1Cc1ccccc1,O=C1c2ccccc2NC(c2ccccc2)N1Cc1ccccc1,C21H17ClN2O,0.0,25.0,42.0,1.0,4bd6838f84996d5e50e2e0acfd83b49b3b967b0074bcb3670c11c1af6acdfe6e,matched,extracted_and_rdkit_validated
ATP-ACQ-0003,3,P0,1,score_calibration,1,add medium and weak docking controls to reduce Top-candidate selection bias,ATP-HTVS-442C36D59863,49602,m_270004bbb____21660890____8300602,49602-1,47,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz,True,1,1,1.0,-5.63752501034488,-72.8266453918685,-49.2134685516357,-0.176172656573278,0.9387630128597672,0.9632578077158604,0.8928352725045928,0.9369259032455604,425.575,39.092,4.492,-3.823,-7.387,95.7,0,False,export exact selected pose to SDF/SMILES; verify identity; then run frozen same-protocol MMGBSA,pending,unknown,C[NH+]1CCN(c2ccc(C[NH2+]CCc3nc4ccccc4n3-c3ccccc3)cc2)CC1,C[NH+]1CCN(c2ccc(C[NH2+]CCc3nc4ccccc4n3-c3ccccc3)cc2)CC1,c1ccc(-n2c(CC[NH2+]Cc3ccc(N4CC[NH2+]CC4)cc3)nc3ccccc32)cc1,C27H33N5+2,2.0,32.0,65.0,1.0,960b0c61adb899c0711df3682dd7b09a1d4d56e9ae3909e5b165b633615b7336,matched,extracted_and_rdkit_validated
ATP-ACQ-0004,4,P0,1,exploitation,2,test whether strongest HTVS multi-score candidates retain favorable same-protocol MMGBSA,ATP-HTVS-780990BE0E68,83747,rxn503b____EMOL519605____EMOL7515103____EMOL317509042,83747-3,1,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae,True,4,4,1.0,-6.80803117503607,-92.0530939366025,-59.1729354858398,-0.206303975001093,0.9993876301285975,0.9993876301285975,0.9779546846295162,0.9951010410287812,439.488,80.298,4.844,-6.489,-8.837,94.282,2,False,export exact selected pose to SDF/SMILES; verify identity; then run frozen same-protocol MMGBSA,pending,unknown,C[C@@H]([NH2+]CC#Cc1cnc(NC(=O)c2cccc(O)c2)c2ccccc12)c1cccc(F)c1,CC([NH2+]CC#Cc1cnc(NC(=O)c2cccc(O)c2)c2ccccc12)c1cccc(F)c1,O=C(Nc1ncc(C#CC[NH2+]Cc2ccccc2)c2ccccc12)c1ccccc1,C27H23FN3O2+,1.0,33.0,56.0,1.0,3695393c714d5eac85e6e41c832b335b5b7ff98256b32d075ce008b041c4352c,matched,extracted_and_rdkit_validated
ATP-ACQ-0005,5,P0,1,descriptor_diversity,2,expand physicochemical and docking-feature coverage before SMILES/scaffold extraction,ATP-HTVS-837D7A211A0E,67522,m_282030aaa____21928106____22360182____21950844,67522-1,982,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz,True,1,1,1.0,-2.48290298083652,-12.7737663363053,-17.943564414978,-0.0730265582598975,0.1194121249234537,0.0006123698714023,0.1077770973668095,0.0814451928965094,455.602,50.967,4.949,-3.764,-6.439,100.0,0,False,export exact selected pose to SDF/SMILES; verify identity; then run frozen same-protocol MMGBSA,pending,unknown,CC[N@@H+](C)Cc1cccc(CNc2nc(NCc3cccc(COC)c3)c3ccccc3[nH+]2)c1,CC[NH+](C)Cc1cccc(CNc2nc(NCc3cccc(COC)c3)c3ccccc3[nH+]2)c1,c1ccc(CNc2nc(NCc3ccccc3)c3ccccc3[nH+]2)cc1,C28H35N5O+2,2.0,34.0,69.0,1.0,af23275bee09749c66829016ecbafb0583bed824928aec2b36f405629ee7e914,matched,extracted_and_rdkit_validated
ATP-ACQ-0006,6,P0,1,score_calibration,2,add medium and weak docking controls to reduce Top-candidate selection bias,ATP-HTVS-45A004EDB829,35234,m_2230bbb____8627194____7471132,35234-2,48,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz,True,3,3,1.0,-5.63462685379644,-62.9329991873774,-46.0133800506592,-0.194297477717119,0.9381506429883648,0.8150642988364972,0.9571341090018372,0.9050214329454992,406.886,45.803,4.873,-4.981,-7.6,100.0,1,False,export exact selected pose to SDF/SMILES; verify identity; then run frozen same-protocol MMGBSA,pending,unknown,OC[C@@H]([NH2+]Cc1nc2ccccc2c(-c2ccccc2)c1Cl)c1ccccc1F,OCC([NH2+]Cc1nc2ccccc2c(-c2ccccc2)c1Cl)c1ccccc1F,c1ccc(C[NH2+]Cc2cc(-c3ccccc3)c3ccccc3n2)cc1,C24H21ClFN2O+,1.0,29.0,50.0,1.0,dade62f82e988f5519a7411f76fd7d502ff6e1b3a7f266594fd8df5b852b0a13,matched,extracted_and_rdkit_validated
ATP-ACQ-0007,7,P0,1,exploitation,3,test whether strongest HTVS multi-score candidates retain favorable same-protocol MMGBSA,ATP-HTVS-D6043925B579,66273,m_270004bbb____16500566____7548060,66273-2,1,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib,True,1,1,1.0,-6.72217226588382,-78.00728371634,-50.1546363830566,-0.216844266641413,0.998162890385793,0.988977342314758,0.9883649724433556,0.993447642375995,419.473,48.172,4.992,-4.429,-6.936,100.0,1,False,export exact selected pose to SDF/SMILES; verify identity; then run frozen same-protocol MMGBSA,pending,unknown,O[C@H](C[NH2+]Cc1cn(Cc2ccccc2)nc1-c1ccccc1)c1ccc(F)cc1F,OC(C[NH2+]Cc1cn(Cc2ccccc2)nc1-c1ccccc1)c1ccc(F)cc1F,c1ccc(CC[NH2+]Cc2cn(Cc3ccccc3)nc2-c2ccccc2)cc1,C25H24F2N3O+,1.0,31.0,55.0,1.0,3d2472c3aebdf4c4069a7387e19e4b365be17af87e24938cdce2a70cc24bc7ee,matched,extracted_and_rdkit_validated
ATP-ACQ-0008,8,P0,1,descriptor_diversity,3,expand physicochemical and docking-feature coverage before SMILES/scaffold extraction,ATP-HTVS-43E54E69D2FC,49761,m_2230bdc____14772912____666388,49761-2,1331,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib,True,2,2,1.0,-1.47586439099717,-33.2876245176287,-30.6318409442902,-0.0508918755516265,0.0330679730557256,0.0177587262706674,0.0422535211267605,0.0303123086344151,433.284,42.628,4.852,-5.515,-6.505,100.0,1,False,export exact selected pose to SDF/SMILES; verify identity; then run frozen same-protocol MMGBSA,pending,unknown,O=C1CN(Cc2ccc(F)cc2Cl)[C@H](c2ccccc2F)c2cc(Cl)ccc2N1,O=C1CN(Cc2ccc(F)cc2Cl)C(c2ccccc2F)c2cc(Cl)ccc2N1,O=C1CN(Cc2ccccc2)C(c2ccccc2)c2ccccc2N1,C22H16Cl2F2N2O,0.0,29.0,45.0,1.0,c2cecced7d360b97e1ba4a67246c28d85cc38c99478dc18c05bc190bae6e8d06,matched,extracted_and_rdkit_validated
ATP-ACQ-0009,9,P0,1,score_calibration,3,add medium and weak docking controls to reduce Top-candidate selection bias,ATP-HTVS-1402A7ED8177,450,YAS_R004____OTV1509977____OTV7113231893____OTV7020431351,450-1,112,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz,True,3,3,1.0,-5.06327281392812,-64.8546970376858,-46.6774616241455,-0.158227275435254,0.840783833435395,0.863441518677281,0.7783221065523577,0.8350887936313532,431.509,55.546,4.877,-4.275,-6.591,100.0,0,False,export exact selected pose to SDF/SMILES; verify identity; then run frozen same-protocol MMGBSA,pending,unknown,C[NH+](C)[C@@H](CNc1cc(COc2ccccc2)[nH+]c2ccc(O)cc12)c1ccc(F)cc1,C[NH+](C)C(CNc1cc(COc2ccccc2)[nH+]c2ccc(O)cc12)c1ccc(F)cc1,c1ccc(CCNc2cc(COc3ccccc3)[nH+]c3ccccc23)cc1,C26H28FN3O2+2,2.0,32.0,60.0,1.0,5ad46e20d3a93079e6c0ed665bc7bcbfbeaa10b8d17ec325b578319799e7b18b,matched,extracted_and_rdkit_validated
ATP-ACQ-0010,10,P0,1,exploitation,4,test whether strongest HTVS multi-score candidates retain favorable same-protocol MMGBSA,ATP-HTVS-6EF9F712D3BB,38274,m_270004bbb____8288884____20640242,38274-1,10,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz,True,4,4,1.0,-6.27229934947262,-79.2707187193982,-48.8943605422974,-0.232307383313801,0.9902020820575628,0.9920391916717698,0.9969381506429884,0.99210042865891,426.355,39.448,4.78,-4.652,-8.532,100.0,0,False,export exact selected pose to SDF/SMILES; verify identity; then run frozen same-protocol MMGBSA,pending,unknown,C[NH+](C)Cc1ccc(C[NH2+]Cc2ccc(Oc3ccc(Br)cc3)nc2)cc1,C[NH+](C)Cc1ccc(C[NH2+]Cc2ccc(Oc3ccc(Br)cc3)nc2)cc1,c1ccc(C[NH2+]Cc2ccc(Oc3ccccc3)nc2)cc1,C22H26BrN3O+2,2.0,27.0,53.0,1.0,d97a48efe0fc958a1df80d1f66ea30e72c65ccf0cc7600e3c01b0f3ab43de357,matched,extracted_and_rdkit_validated
ATP-ACQ-0011,11,P0,1,descriptor_diversity,4,expand physicochemical and docking-feature coverage before SMILES/scaffold extraction,ATP-HTVS-1952D56C5A08,95489,rxn502b____EMOL5415347____EMOL7515103____EMOL324170366,95489-1,625,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib,True,3,3,1.0,-3.49607907335307,-56.0259912133187,-44.4663207530975,-0.0998879735243735,0.2327005511328842,0.5572565829761176,0.191059399877526,0.3217391304347826,469.585,91.409,4.007,-5.41,-8.622,92.728,5,False,export exact selected pose to SDF/SMILES; verify identity; then run frozen same-protocol MMGBSA,pending,unknown,C[NH+](C)Cc1ccccc1C(=O)Nc1ncc(NCc2ccc(NCCO)cc2)c2ccccc12,C[NH+](C)Cc1ccccc1C(=O)Nc1ncc(NCc2ccc(NCCO)cc2)c2ccccc12,O=C(Nc1ncc(NCc2ccccc2)c2ccccc12)c1ccccc1,C28H32N5O2+,1.0,35.0,67.0,1.0,c8bebbe88a4d24caebf77b68d3f70aa54dfb66f03be0015221caef914ffde37a,matched,extracted_and_rdkit_validated
