profile,compound_id,historical_alias,leader_compound_id,leader_historical_alias,central_score_gap_to_leader,largest_weighted_gap_component,minimal_single_component,required_component_score_increase,counterfactual_component_target,counterfactual_status,counterfactual_warning
balanced,ATP-SMI-C93E6EC67CDB,Hit2,ATP-SMI-C93E6EC67CDB,Hit2,0.0,binding_score,already_profile_leader,0.0,73.7589699074074,already_profile_leader,normalized decision-score scenario only; not a predicted experimental effect
balanced,ATP-SMI-9DA3213A09E8,Hit1,ATP-SMI-C93E6EC67CDB,Hit2,2.5500578703703667,antibacterial_score,binding_score,6.375147175925917,88.87514717592592,single_component_score_counterfactual_available,normalized decision-score scenario only; not a predicted experimental effect
balanced,ATP-SMI-5D3E7B6B6796,Hit4,ATP-SMI-C93E6EC67CDB,Hit2,10.214120370370367,antibacterial_score,binding_score,25.535303425925914,90.53530342592592,single_component_score_counterfactual_available,normalized decision-score scenario only; not a predicted experimental effect
balanced,ATP-SMI-96FD6257D8BA,Hit5,ATP-SMI-C93E6EC67CDB,Hit2,10.565682870370367,antibacterial_score,binding_score,26.414209675925914,97.66420967592592,single_component_score_counterfactual_available,normalized decision-score scenario only; not a predicted experimental effect
balanced,ATP-SMI-5B36D3E11A3B,Hit13,ATP-SMI-C93E6EC67CDB,Hit2,12.929687499999993,binding_score,binding_score,32.32422124999998,59.82422124999998,single_component_score_counterfactual_available,normalized decision-score scenario only; not a predicted experimental effect
balanced,ATP-SMI-E9798004BA11,Hit6,ATP-SMI-C93E6EC67CDB,Hit2,12.96817129629629,antibacterial_score,binding_score,32.42043074074072,96.17043074074073,single_component_score_counterfactual_available,normalized decision-score scenario only; not a predicted experimental effect
balanced,ATP-SMI-C3308BEE03AC,Hit10,ATP-SMI-C93E6EC67CDB,Hit2,14.734375,binding_score,binding_score,36.835939999999994,84.33594,single_component_score_counterfactual_available,normalized decision-score scenario only; not a predicted experimental effect
balanced,ATP-SMI-775D33706F04,Hit14,ATP-SMI-C93E6EC67CDB,Hit2,16.117187499999993,binding_score,binding_score,40.29297124999998,71.54297124999998,single_component_score_counterfactual_available,normalized decision-score scenario only; not a predicted experimental effect
balanced,ATP-SMI-CDED936B42F4,Hit11,ATP-SMI-C93E6EC67CDB,Hit2,17.195312499999993,binding_score,binding_score,42.98828374999998,77.98828374999998,single_component_score_counterfactual_available,normalized decision-score scenario only; not a predicted experimental effect
balanced,ATP-SMI-874C2DE25FE4,Hit3,ATP-SMI-C93E6EC67CDB,Hit2,18.009259259259252,antibacterial_score,ATP_target_score,72.03704103703701,88.44329103703701,single_component_score_counterfactual_available,normalized decision-score scenario only; not a predicted experimental effect
balanced,ATP-SMI-BF69AB71C1A4,Hit8,ATP-SMI-C93E6EC67CDB,Hit2,18.4921875,binding_score,binding_score,46.23047125,94.98047125,single_component_score_counterfactual_available,normalized decision-score scenario only; not a predicted experimental effect
balanced,ATP-SMI-91E7552C2382,Hit16,ATP-SMI-C93E6EC67CDB,Hit2,20.828124999999993,binding_score,binding_score,52.07031499999998,74.57031499999998,single_component_score_counterfactual_available,normalized decision-score scenario only; not a predicted experimental effect
balanced,ATP-SMI-4417138BF81D,Hit17,ATP-SMI-C93E6EC67CDB,Hit2,23.050057870370367,binding_score,binding_score,57.62514717592592,76.37514717592592,single_component_score_counterfactual_available,normalized decision-score scenario only; not a predicted experimental effect
balanced,ATP-SMI-FCA9CDF3313B,Hit9,ATP-SMI-C93E6EC67CDB,Hit2,24.1015625,binding_score,multi_component_change_required,,,no_single_component_change_within_0_100_can_overtake_leader,normalized decision-score scenario only; not a predicted experimental effect
balanced,ATP-SMI-CFA68A98711F,Hit15,ATP-SMI-C93E6EC67CDB,Hit2,24.506365740740733,binding_score,binding_score,61.265916851851834,91.26591685185184,single_component_score_counterfactual_available,normalized decision-score scenario only; not a predicted experimental effect
balanced,ATP-SMI-94F73967C042,Hit12,ATP-SMI-C93E6EC67CDB,Hit2,25.6328125,binding_score,binding_score,64.08203375,99.08203375,single_component_score_counterfactual_available,normalized decision-score scenario only; not a predicted experimental effect
balanced,ATP-SMI-15737353FB69,Hit7,ATP-SMI-C93E6EC67CDB,Hit2,28.489004629629626,binding_score,multi_component_change_required,,,no_single_component_change_within_0_100_can_overtake_leader,normalized decision-score scenario only; not a predicted experimental effect
