compound_id,model_v3_oof_rank,model_v3_oof_prediction,model_v4_alpha_oof_prediction,model_v4_alpha_oof_rank,absolute_oof_rank_disagreement,disagreement_semantics
ATP-SMI-5D3E7B6B6796,8,-49.36589406155058,-50.58113886434623,6,2,model_version_scaffold_oof_rank_disagreement_not_biological_uncertainty
ATP-SMI-874C2DE25FE4,6,-50.31353696740018,-49.48540212155611,8,2,model_version_scaffold_oof_rank_disagreement_not_biological_uncertainty
ATP-SMI-96FD6257D8BA,5,-51.01861812713058,-51.85614338380731,3,2,model_version_scaffold_oof_rank_disagreement_not_biological_uncertainty
ATP-SMI-15737353FB69,3,-52.15037271024119,-51.33979335103052,4,1,model_version_scaffold_oof_rank_disagreement_not_biological_uncertainty
ATP-SMI-5B36D3E11A3B,13,-43.878739295807534,-43.72490825073846,14,1,model_version_scaffold_oof_rank_disagreement_not_biological_uncertainty
ATP-SMI-775D33706F04,17,-38.72986175475622,-39.586214404977774,16,1,model_version_scaffold_oof_rank_disagreement_not_biological_uncertainty
ATP-SMI-91E7552C2382,14,-43.36463103106589,-43.788840069629735,13,1,model_version_scaffold_oof_rank_disagreement_not_biological_uncertainty
ATP-SMI-9DA3213A09E8,4,-51.553520087762585,-51.07551717091994,5,1,model_version_scaffold_oof_rank_disagreement_not_biological_uncertainty
ATP-SMI-CFA68A98711F,16,-39.55951696170813,-37.6461251457322,17,1,model_version_scaffold_oof_rank_disagreement_not_biological_uncertainty
ATP-SMI-4417138BF81D,15,-42.84636810968417,-42.869086837140735,15,0,model_version_scaffold_oof_rank_disagreement_not_biological_uncertainty
ATP-SMI-94F73967C042,10,-44.6641117151336,-45.72291886552463,10,0,model_version_scaffold_oof_rank_disagreement_not_biological_uncertainty
ATP-SMI-BF69AB71C1A4,11,-44.645213966485535,-44.422616683013786,11,0,model_version_scaffold_oof_rank_disagreement_not_biological_uncertainty
ATP-SMI-C3308BEE03AC,12,-43.95006801566522,-43.947467579574926,12,0,model_version_scaffold_oof_rank_disagreement_not_biological_uncertainty
ATP-SMI-C93E6EC67CDB,7,-50.28417949462835,-49.925685045990505,7,0,model_version_scaffold_oof_rank_disagreement_not_biological_uncertainty
ATP-SMI-CDED936B42F4,9,-46.84445683443388,-47.9323242824354,9,0,model_version_scaffold_oof_rank_disagreement_not_biological_uncertainty
ATP-SMI-E9798004BA11,1,-54.5255590747638,-53.70271056827205,1,0,model_version_scaffold_oof_rank_disagreement_not_biological_uncertainty
ATP-SMI-FCA9CDF3313B,2,-52.446679722354304,-52.83933357073694,2,0,model_version_scaffold_oof_rank_disagreement_not_biological_uncertainty
