compound_id,historical_alias,scaffold,binding_score,ATP_target_score,antibacterial_score,druglikeness_score,pareto_layer,global_dominance_count,pareto_optimal
ATP-SMI-15737353FB69,Hit7,c1ccc(Cn2cc(C[NH2+]Cc3ccccc3C[NH+]3CCCC3)c(-c3ccccc3)n2)cc1,51.25,20.46875,12.5,88.88888888888889,1,0,True
ATP-SMI-5B36D3E11A3B,Hit13,O=C(NCc1ccccc1)c1cc(NCc2ccccc2)cs1,27.5,80.9375,81.25,87.03703703703704,1,0,True
ATP-SMI-5D3E7B6B6796,Hit4,c1ccc(C[NH2+]Cc2cc(OCc3ccccc3)c3ccccc3c2)cc1,65.0,67.03125,25.0,85.18518518518519,1,0,True
ATP-SMI-775D33706F04,Hit14,O=C(NCc1ccccc1)c1sccc1NCc1ccccc1,31.25,58.4375,87.5,87.03703703703704,1,0,True
ATP-SMI-874C2DE25FE4,Hit3,c1ccc(Cn2cc(C[NH2+]Cc3ccccc3C[NH+]3CCCC3)c(-c3ccccc3)n2)cc1,83.75,16.40625,0.0,90.74074074074076,1,0,True
ATP-SMI-96FD6257D8BA,Hit5,c1ccc(-n2cc(C[NH2+]CCc3ccc(N4CC[NH2+]CC4)cc3)c(-c3cccnc3)n2)cc1,71.25,66.875,6.25,85.18518518518519,1,0,True
ATP-SMI-9DA3213A09E8,Hit1,O=C(NCc1ccccc1)c1ccnc(C[NH2+]Cc2ccccc2)c1,82.5,50.9375,56.25,85.18518518518519,1,0,True
ATP-SMI-BF69AB71C1A4,Hit8,O=C(NCc1ccccc1)c1cc(NCc2ccccc2)cs1,48.75,28.4375,75.0,87.03703703703704,1,0,True
ATP-SMI-C3308BEE03AC,Hit10,O=C(NCc1ccccc1)c1cc(NCc2ccccc2)cs1,47.5,30.46875,100.0,87.03703703703704,1,0,True
ATP-SMI-C93E6EC67CDB,Hit2,O=C(NCc1ccccc1)c1cc(NCc2ccccc2)cs1,90.0,25.15625,93.75,87.03703703703704,1,0,True
ATP-SMI-CDED936B42F4,Hit11,c1ccc(CC[NH2+]Cc2cc(OCc3ccccc3)c3ccccc3c2)cc1,35.0,81.875,31.25,87.03703703703704,1,0,True
ATP-SMI-FCA9CDF3313B,Hit9,c1ccc(CCNc2nc(Nc3ccccc3)nc3ccccc23)cc1,46.25,32.5,37.5,87.03703703703704,1,0,True
ATP-SMI-4417138BF81D,Hit17,O=C(Nc1ccccc1)c1cc2ccccc2nc1NCc1ccccc1,18.75,67.1875,62.5,85.18518518518519,2,1,False
ATP-SMI-91E7552C2382,Hit16,c1ccc(C[NH2+]Cc2ccc(OCc3ccccc3)cc2)cc1,22.5,76.09375,50.0,87.03703703703704,2,1,False
ATP-SMI-CFA68A98711F,Hit15,c1ccc(C[NH2+]Cc2cc(OCc3ccccc3)c3ccccc3c2)cc1,30.0,56.09375,43.75,83.33333333333334,2,1,False
ATP-SMI-E9798004BA11,Hit6,c1ccc(C[NH2+]Cc2ccc(OCc3ccccc3)cc2)cc1,63.75,65.46875,18.75,80.55555555555556,2,1,False
ATP-SMI-94F73967C042,Hit12,O=C(Nc1ccccc1)c1cc(NCc2ccccc2)cs1,35.0,25.625,68.75,87.03703703703704,2,2,False
