compound_id,historical_alias,scaffold,profile,central_score,central_rank,expected_score,mean_rank,median_rank,rank_p05,rank_p95,p_top1,p_top3,p_top5,p_bottom5,robust_order,probability_semantics
ATP-SMI-C93E6EC67CDB,Hit2,O=C(NCc1ccccc1)c1cc(NCc2ccccc2)cs1,balanced,73.7589699074074,1,73.75649484414558,1.3069,1.0,1,2,0.80685,0.97125,0.9903,0.0,1,conditional_rank_acceptability_under_configured_weight_distribution_not_activity_probability
ATP-SMI-9DA3213A09E8,Hit1,O=C(NCc1ccccc1)c1ccnc(C[NH2+]Cc2ccccc2)c1,balanced,71.20891203703704,2,71.20887922910453,1.85075,2.0,1,2,0.17295,0.9968,0.99995,0.0,2,conditional_rank_acceptability_under_configured_weight_distribution_not_activity_probability
ATP-SMI-5D3E7B6B6796,Hit4,c1ccc(C[NH2+]Cc2cc(OCc3ccccc3)c3ccccc3c2)cc1,balanced,63.54484953703704,3,63.55115306549182,4.0423,4.0,3,6,0.0,0.2751,0.89715,0.0,3,conditional_rank_acceptability_under_configured_weight_distribution_not_activity_probability
ATP-SMI-96FD6257D8BA,Hit5,c1ccc(-n2cc(C[NH2+]CCc3ccc(N4CC[NH2+]CC4)cc3)c(-c3cccnc3)n2)cc1,balanced,63.19328703703704,4,63.19729984189138,4.4916,4.0,3,8,0.0014,0.40405,0.77955,0.00345,4,conditional_rank_acceptability_under_configured_weight_distribution_not_activity_probability
ATP-SMI-5B36D3E11A3B,Hit13,O=C(NCc1ccccc1)c1cc(NCc2ccccc2)cs1,balanced,60.82928240740741,5,60.84993018858368,5.60665,6.0,3,9,0.0188,0.2187,0.4528,0.00015,5,conditional_rank_acceptability_under_configured_weight_distribution_not_activity_probability
ATP-SMI-E9798004BA11,Hit6,c1ccc(C[NH2+]Cc2ccc(OCc3ccccc3)cc2)cc1,balanced,60.790798611111114,6,60.795984422506336,6.4284,6.0,5,9,0.0,0.0,0.36715,0.00075,6,conditional_rank_acceptability_under_configured_weight_distribution_not_activity_probability
ATP-SMI-C3308BEE03AC,Hit10,O=C(NCc1ccccc1)c1cc(NCc2ccccc2)cs1,balanced,59.024594907407405,7,59.037145356611305,6.96025,7.0,3,11,0.0,0.11865,0.27225,0.0015,7,conditional_rank_acceptability_under_configured_weight_distribution_not_activity_probability
ATP-SMI-775D33706F04,Hit14,O=C(NCc1ccccc1)c1sccc1NCc1ccccc1,balanced,57.64178240740741,8,57.66061593690883,8.2042,8.0,5,11,0.0,0.0011,0.12935,0.003,8,conditional_rank_acceptability_under_configured_weight_distribution_not_activity_probability
ATP-SMI-CDED936B42F4,Hit11,c1ccc(CC[NH2+]Cc2cc(OCc3ccccc3)c3ccccc3c2)cc1,balanced,56.56365740740741,9,56.58143509782738,9.0261,9.0,7,11,0.0,0.00185,0.0143,0.014,9,conditional_rank_acceptability_under_configured_weight_distribution_not_activity_probability
ATP-SMI-874C2DE25FE4,Hit3,c1ccc(Cn2cc(C[NH2+]Cc3ccccc3C[NH+]3CCCC3)c(-c3ccccc3)n2)cc1,balanced,55.74971064814815,10,55.749895678474545,9.77955,10.0,5,16,0.0,0.0125,0.09075,0.2569,10,conditional_rank_acceptability_under_configured_weight_distribution_not_activity_probability
