profile,component,central_weight,sample_mean,sample_sd,sample_p05,sample_p95
balanced,binding_score,0.4,0.3996502293634346,0.07258929585756257,0.28232239413126775,0.5217540911679796
balanced,ATP_target_score,0.25,0.25002383360716784,0.0634740645274938,0.15334718458495944,0.3610049745553316
balanced,antibacterial_score,0.15,0.1500053830997753,0.052594845829848615,0.07361871080610023,0.24519845188880365
balanced,druglikeness_score,0.2,0.200320553929622,0.058246582680505296,0.11149618805761702,0.30410479920747446
binding_first,binding_score,0.55,0.5465407248023153,0.06987212719862804,0.42698866180991685,0.6577576485185892
binding_first,ATP_target_score,0.2,0.20048445107030388,0.0576997384386129,0.1141091657714799,0.30213015640211466
binding_first,antibacterial_score,0.1,0.10207249499411446,0.04357520108903751,0.04280428874181113,0.18348836591841855
binding_first,druglikeness_score,0.15,0.15090232913326823,0.051882091286318995,0.07562901626392327,0.2451195026893886
target_mechanism,binding_score,0.3,0.30155015177669214,0.06549815105186706,0.1990566688169512,0.41399993175599914
target_mechanism,ATP_target_score,0.45,0.44474525017910227,0.06860277156843177,0.32865487479378025,0.5575757332976666
target_mechanism,antibacterial_score,0.1,0.10268276513168327,0.04325512864129495,0.04339226317594438,0.18216293931815905
target_mechanism,druglikeness_score,0.15,0.15102183291251883,0.050996883838361685,0.07648887079241429,0.24320500831676425
translational_balance,binding_score,0.3,0.30158322523239983,0.06580932679501425,0.1998019970248669,0.41526333116297104
translational_balance,ATP_target_score,0.25,0.25066137928005905,0.0634885474247472,0.15267778228680462,0.3612809908574379
translational_balance,antibacterial_score,0.2,0.19990282556496813,0.05775404882330557,0.1109004105523429,0.30321488613936354
translational_balance,druglikeness_score,0.25,0.24785256992257376,0.06040239548837466,0.15108242975027805,0.3522949518144871
