decision_version,candidate_id,decision_rank,decision_score,decision_confidence,glide_score,vina_score,open_mmgbsa_deltaG,protocol_count,three_protocol_disagreement,pre_mmgbsa_rank,rank_change_after_mmgbsa,evidence_completeness_gain,selection_class,scaffold,protocol_id,protocol_hash,experimental_ATP_inhibition,experimental_MIC,experimental_toxicity,official_model,run_role
competition_rc_three_protocol_shadow_v1,ATP-HTVS-B31ECD8B9A27,1.0,82.35882058970515,three_protocol_computational,-5.92766230536446,-9.507,-31.79,3,0.3913043478260869,4.0,3.0,0.3333333333333333,multi_protocol_strong,O=C(NCc1ccccc1)c1cc(-c2ccccn2)nc2ccccc12,open_mmgbsa_7p3w_v2,cb28279704aa51f7530e0e61fc592450d43823fe1e23aad5975a638b82407aab,unknown,unknown,unknown,Model v3 (unchanged),release_candidate_updated_evidence_shadow
competition_rc_three_protocol_shadow_v1,ATP-HTVS-E71202E475AE,2.0,75.21239380309845,three_protocol_computational,-6.19841322737428,-9.176,-24.54,3,0.1379310344827585,5.0,3.0,0.3333333333333333,multi_protocol_strong,O=C(Nc1ccccc1)Nc1ccc(OCc2ccccc2)nc1,open_mmgbsa_7p3w_v2,cb28279704aa51f7530e0e61fc592450d43823fe1e23aad5975a638b82407aab,unknown,unknown,unknown,Model v3 (unchanged),release_candidate_updated_evidence_shadow
competition_rc_three_protocol_shadow_v1,ATP-HTVS-AD7FBCC01633,3.0,71.81409295352324,three_protocol_computational,-6.49299466235293,-9.947,-15.57,3,0.7586206896551724,1.0,-2.0,0.3333333333333333,multi_protocol_strong,O=C(Cc1ccccc1)Nc1nc2ccccc2cc1C#CCCc1ccccc1,open_mmgbsa_7p3w_v2,cb28279704aa51f7530e0e61fc592450d43823fe1e23aad5975a638b82407aab,unknown,unknown,unknown,Model v3 (unchanged),release_candidate_updated_evidence_shadow
competition_rc_three_protocol_shadow_v1,ATP-HTVS-8F383301D999,4.0,68.06596701649175,three_protocol_computational,-6.30624062048678,-9.621,-15.8,3,0.6206896551724138,2.0,-2.0,0.3333333333333333,multi_protocol_strong,O=C(Cc1ccccc1)Nc1nc2ccccc2cc1C#CCCc1ccccc1,open_mmgbsa_7p3w_v2,cb28279704aa51f7530e0e61fc592450d43823fe1e23aad5975a638b82407aab,unknown,unknown,unknown,Model v3 (unchanged),release_candidate_updated_evidence_shadow
competition_rc_three_protocol_shadow_v1,ATP-HTVS-1356F7D69808,5.0,65.06746626686657,three_protocol_computational,-4.76216215558839,-9.306,-24.38,3,0.3583208395802099,8.0,3.0,0.3333333333333333,scaffold_diverse,O=C(NCC1c2ccccc2C(=O)N1Cc1ccccc1)Nc1ccccc1,open_mmgbsa_7p3w_v2,cb28279704aa51f7530e0e61fc592450d43823fe1e23aad5975a638b82407aab,unknown,unknown,unknown,Model v3 (unchanged),release_candidate_updated_evidence_shadow
competition_rc_three_protocol_shadow_v1,ATP-HTVS-B847417F307C,6.0,63.36831584207897,three_protocol_computational,-5.45752917124397,-9.706,-18.87,3,0.5517241379310345,3.0,-3.0,0.3333333333333333,multi_protocol_strong,O=C(Cc1ccccc1)Nc1cnc2ccccc2c1C#CC(=O)c1ccccc1,open_mmgbsa_7p3w_v2,cb28279704aa51f7530e0e61fc592450d43823fe1e23aad5975a638b82407aab,unknown,unknown,unknown,Model v3 (unchanged),release_candidate_updated_evidence_shadow
competition_rc_three_protocol_shadow_v1,ATP-HTVS-DDBB6FEB6103,7.0,62.01899050474763,three_protocol_computational,-6.29318849134732,-8.824,-20.29,3,0.3088455772113944,6.0,-1.0,0.3333333333333333,scaffold_diverse,c1ccc(C[NH2+]Cc2oc3ccccc3c2-c2ccccc2)cc1,open_mmgbsa_7p3w_v2,cb28279704aa51f7530e0e61fc592450d43823fe1e23aad5975a638b82407aab,unknown,unknown,unknown,Model v3 (unchanged),release_candidate_updated_evidence_shadow
competition_rc_three_protocol_shadow_v1,ATP-HTVS-8E5D0C8C0586,8.0,61.81909045477262,three_protocol_computational,-1.92434302270637,-9.493,-25.71,3,0.7661169415292354,13.0,5.0,0.3333333333333333,extreme_disagreement,O=C1c2ccccc2C(CNCc2cccc(C3CC3)c2)N1Cc1ccccc1,open_mmgbsa_7p3w_v2,cb28279704aa51f7530e0e61fc592450d43823fe1e23aad5975a638b82407aab,unknown,unknown,unknown,Model v3 (unchanged),release_candidate_updated_evidence_shadow
competition_rc_three_protocol_shadow_v1,ATP-HTVS-3DA95123E47A,9.0,57.821089455272364,three_protocol_computational,-2.79904934128025,-9.373,-24.25,3,0.5412293853073463,12.0,3.0,0.3333333333333333,rank_boundary_uncertain,c1ccc(-c2c(CNCc3ccc(N4CC[NH2+]CC4)cc3)oc3ccccc23)cc1,open_mmgbsa_7p3w_v2,cb28279704aa51f7530e0e61fc592450d43823fe1e23aad5975a638b82407aab,unknown,unknown,unknown,Model v3 (unchanged),release_candidate_updated_evidence_shadow
competition_rc_three_protocol_shadow_v1,ATP-HTVS-AC71774ACC4B,10.0,55.17241379310346,three_protocol_computational,-6.96005044741765,-7.449,-20.0,3,0.8275862068965517,7.0,-3.0,0.3333333333333333,historical_bridge_interpretable,O=C(NCc1ccccc1)c1cc(NCc2ccccc2)cs1,open_mmgbsa_7p3w_v2,cb28279704aa51f7530e0e61fc592450d43823fe1e23aad5975a638b82407aab,unknown,unknown,unknown,Model v3 (unchanged),release_candidate_updated_evidence_shadow
competition_rc_three_protocol_shadow_v1,ATP-HTVS-9505CBC4E7EE,11.0,53.47326336831585,three_protocol_computational,-1.65167439484376,-9.7,-20.37,3,0.8440779610194902,11.0,0.0,0.3333333333333333,extreme_disagreement,c1ccc(CCNc2nc(NCc3cccc4c3OCO4)[nH+]c3ccccc23)cc1,open_mmgbsa_7p3w_v2,cb28279704aa51f7530e0e61fc592450d43823fe1e23aad5975a638b82407aab,unknown,unknown,unknown,Model v3 (unchanged),release_candidate_updated_evidence_shadow
competition_rc_three_protocol_shadow_v1,ATP-HTVS-CF9A421CD50D,12.0,50.87456271864068,three_protocol_computational,-1.05740362215688,-9.475,-23.17,3,0.7496251874062969,14.0,2.0,0.3333333333333333,extreme_disagreement,c1ccc(CNc2nc(NCc3ccccc3)c3ccccc3[nH+]2)cc1,open_mmgbsa_7p3w_v2,cb28279704aa51f7530e0e61fc592450d43823fe1e23aad5975a638b82407aab,unknown,unknown,unknown,Model v3 (unchanged),release_candidate_updated_evidence_shadow
competition_rc_three_protocol_shadow_v1,ATP-HTVS-397149B089BD,13.0,45.27736131934032,three_protocol_computational,-5.85385473217396,-8.594,-17.68,3,0.254872563718141,10.0,-3.0,0.3333333333333333,scaffold_diverse,c1ccc(Cn2cc(C[NH2+]Cc3cccc4c3CCN4)c(-c3ccccc3)n2)cc1,open_mmgbsa_7p3w_v2,cb28279704aa51f7530e0e61fc592450d43823fe1e23aad5975a638b82407aab,unknown,unknown,unknown,Model v3 (unchanged),release_candidate_updated_evidence_shadow
competition_rc_three_protocol_shadow_v1,ATP-HTVS-1E5A6A308B25,14.0,44.927536231884055,three_protocol_computational,-3.79637454853526,-8.358,-23.72,3,0.4482758620689655,20.0,6.0,0.3333333333333333,medium_controls,O=C(Nc1ccncc1NCc1ccccc1)c1ccccc1,open_mmgbsa_7p3w_v2,cb28279704aa51f7530e0e61fc592450d43823fe1e23aad5975a638b82407aab,unknown,unknown,unknown,Model v3 (unchanged),release_candidate_updated_evidence_shadow
competition_rc_three_protocol_shadow_v1,ATP-HTVS-F0EA8E73CD83,15.0,42.37881059470265,three_protocol_computational,-5.33587701286716,-7.383,-23.16,3,0.5172413793103448,21.0,6.0,0.3333333333333333,historical_bridge_interpretable,O=C(Nc1ccccc1)c1cc(NCc2ccccc2)cs1,open_mmgbsa_7p3w_v2,cb28279704aa51f7530e0e61fc592450d43823fe1e23aad5975a638b82407aab,unknown,unknown,unknown,Model v3 (unchanged),release_candidate_updated_evidence_shadow
competition_rc_three_protocol_shadow_v1,ATP-HTVS-898AE5CA69D9,16.0,40.22988505747126,three_protocol_computational,-0.632866293840059,-9.134,-20.3,3,0.6551724137931034,19.0,3.0,0.3333333333333333,extreme_disagreement,c1ccc(CNc2nc(NCc3ccccc3)c3ccccc3[nH+]2)cc1,open_mmgbsa_7p3w_v2,cb28279704aa51f7530e0e61fc592450d43823fe1e23aad5975a638b82407aab,unknown,unknown,unknown,Model v3 (unchanged),release_candidate_updated_evidence_shadow
competition_rc_three_protocol_shadow_v1,ATP-HTVS-66618B00A972,17.0,38.78060969515242,three_protocol_computational,-6.72891028700809,-7.245,-12.72,3,0.8530734632683659,9.0,-8.0,0.3333333333333333,historical_bridge_interpretable,c1ccc(C[NH2+]Cc2csc(COc3ccccc3)n2)cc1,open_mmgbsa_7p3w_v2,cb28279704aa51f7530e0e61fc592450d43823fe1e23aad5975a638b82407aab,unknown,unknown,unknown,Model v3 (unchanged),release_candidate_updated_evidence_shadow
competition_rc_three_protocol_shadow_v1,ATP-HTVS-9E45A7CB1B23,18.0,37.98100949525237,three_protocol_computational,-2.34711079073836,-9.107,-18.58,3,0.4467766116941529,15.0,-3.0,0.3333333333333333,rank_boundary_uncertain,O=C(Cn1c(COc2ccccc2)[nH+]c2ccccc21)NCc1ccccc1,open_mmgbsa_7p3w_v2,cb28279704aa51f7530e0e61fc592450d43823fe1e23aad5975a638b82407aab,unknown,unknown,unknown,Model v3 (unchanged),release_candidate_updated_evidence_shadow
competition_rc_three_protocol_shadow_v1,ATP-HTVS-1449F4F4BA71,19.0,30.684657671164423,three_protocol_computational,-6.21958526920677,-6.164,-12.82,3,0.782608695652174,16.0,-3.0,0.3333333333333333,extreme_disagreement,O=C(c1ccccc1)c1cnc2ccccc2c1NCc1ccccc1,open_mmgbsa_7p3w_v2,cb28279704aa51f7530e0e61fc592450d43823fe1e23aad5975a638b82407aab,unknown,unknown,unknown,Model v3 (unchanged),release_candidate_updated_evidence_shadow
competition_rc_three_protocol_shadow_v1,ATP-HTVS-7BEC4E93BD87,20.0,27.08645677161419,three_protocol_computational,-3.78499474999287,-8.363,-14.17,3,0.1379310344827586,23.0,3.0,0.3333333333333333,medium_controls,O=C(Nc1c[nH+]c2ccccc2c1NCCc1ccccc1)c1ccccc1,open_mmgbsa_7p3w_v2,cb28279704aa51f7530e0e61fc592450d43823fe1e23aad5975a638b82407aab,unknown,unknown,unknown,Model v3 (unchanged),release_candidate_updated_evidence_shadow
competition_rc_three_protocol_shadow_v1,ATP-HTVS-9F81613398D9,21.0,26.236881559220386,three_protocol_computational,-3.79144316095327,-8.362,-13.92,3,0.1379310344827585,22.0,1.0,0.3333333333333333,medium_controls,O=C(Nc1ncc(NCc2ccccc2)cc1-n1cccc1)c1ccccc1,open_mmgbsa_7p3w_v2,cb28279704aa51f7530e0e61fc592450d43823fe1e23aad5975a638b82407aab,unknown,unknown,unknown,Model v3 (unchanged),release_candidate_updated_evidence_shadow
competition_rc_three_protocol_shadow_v1,ATP-HTVS-E3E3C457ADC4,22.0,25.487256371814087,three_protocol_computational,-6.02590230095753,-6.981,-6.37,3,0.6956521739130435,17.0,-5.0,0.3333333333333333,rank_boundary_uncertain,C(=Cn1c(CCc2ccccc2)nc2ccccc21)c1ccccn1,open_mmgbsa_7p3w_v2,cb28279704aa51f7530e0e61fc592450d43823fe1e23aad5975a638b82407aab,unknown,unknown,unknown,Model v3 (unchanged),release_candidate_updated_evidence_shadow
competition_rc_three_protocol_shadow_v1,ATP-HTVS-DF8AF7E8BFB3,23.0,25.187406296851574,three_protocol_computational,-5.97841732994679,-6.319,-12.14,3,0.6176911544227887,18.0,-5.0,0.3333333333333333,extreme_disagreement,O=C1c2ccccc2C(C[NH2+]CCc2ccccc2)N1Cc1ccccc1,open_mmgbsa_7p3w_v2,cb28279704aa51f7530e0e61fc592450d43823fe1e23aad5975a638b82407aab,unknown,unknown,unknown,Model v3 (unchanged),release_candidate_updated_evidence_shadow
competition_rc_three_protocol_shadow_v1,ATP-HTVS-48ECC7021683,24.0,21.08945527236381,three_protocol_computational,-4.40656122353877,-7.885,-9.58,3,0.3568215892053973,24.0,0.0,0.3333333333333333,medium_controls,O=C(NCc1ccccc1)c1cc(NCc2ccccc2)cs1,open_mmgbsa_7p3w_v2,cb28279704aa51f7530e0e61fc592450d43823fe1e23aad5975a638b82407aab,unknown,unknown,unknown,Model v3 (unchanged),release_candidate_updated_evidence_shadow
competition_rc_three_protocol_shadow_v1,ATP-GEN-28C82FC9CA0D,,,two_protocol_computational,,-8.899,-29.31,2,,,,0.3333333333333333,generated_acquisition,c1ccc(Cn2cc(C[NH2+]Cc3ccccc3C[NH+]3CCCC3)c(-c3ccccc3)n2)cc1,open_mmgbsa_7p3w_v2,cb28279704aa51f7530e0e61fc592450d43823fe1e23aad5975a638b82407aab,unknown,unknown,unknown,Model v3 (unchanged),release_candidate_updated_evidence_shadow
competition_rc_three_protocol_shadow_v1,ATP-GEN-7A898D5E996B,,,two_protocol_computational,,-8.954,-20.52,2,,,,0.3333333333333333,generated_high_ranking,c1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1,open_mmgbsa_7p3w_v2,cb28279704aa51f7530e0e61fc592450d43823fe1e23aad5975a638b82407aab,unknown,unknown,unknown,Model v3 (unchanged),release_candidate_updated_evidence_shadow
competition_rc_three_protocol_shadow_v1,ATP-GEN-83963B27D9CD,,,two_protocol_computational,,-8.562,-18.9,2,,,,0.3333333333333333,generated_acquisition,c1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1,open_mmgbsa_7p3w_v2,cb28279704aa51f7530e0e61fc592450d43823fe1e23aad5975a638b82407aab,unknown,unknown,unknown,Model v3 (unchanged),release_candidate_updated_evidence_shadow
competition_rc_three_protocol_shadow_v1,ATP-GEN-B94A3A6839BC,,,two_protocol_computational,,-8.366,-30.11,2,,,,0.3333333333333333,generated_diverse_novel,c1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1,open_mmgbsa_7p3w_v2,cb28279704aa51f7530e0e61fc592450d43823fe1e23aad5975a638b82407aab,unknown,unknown,unknown,Model v3 (unchanged),release_candidate_updated_evidence_shadow
competition_rc_three_protocol_shadow_v1,ATP-GEN-B9896EAB127D,,,two_protocol_computational,,-8.516,-18.8,2,,,,0.3333333333333333,generated_acquisition,c1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1,open_mmgbsa_7p3w_v2,cb28279704aa51f7530e0e61fc592450d43823fe1e23aad5975a638b82407aab,unknown,unknown,unknown,Model v3 (unchanged),release_candidate_updated_evidence_shadow
competition_rc_three_protocol_shadow_v1,ATP-REF-IN2,,,two_protocol_computational,,-8.212,-24.64,2,,,,0.3333333333333333,reference_IN2,,open_mmgbsa_7p3w_v2,cb28279704aa51f7530e0e61fc592450d43823fe1e23aad5975a638b82407aab,unknown,unknown,unknown,Model v3 (unchanged),release_candidate_updated_evidence_shadow
