member,filename,path/source,sha256,sheet,raw_rows,data_role,training_eligible,validation_eligible,registry_only,notes
Member3,BindingDB_BindingDB_Articles_202608_tsv.zip,data/external/curated/BindingDB_BindingDB_Articles_202608_tsv.zip,2529b1c572aa7b298e57355e251c9a9572b82dd35f97259d5e3866ee69bfada5,archive,unknown,BindingDB source archive,False,False,True,archive content hash matches uploaded TSV; not re-extracted
Member1,Member1_ATP_inhibitor_week1.xlsx,data/external/curated/Member1_ATP_inhibitor_week1.xlsx,c67cbe19c7581694d370335536cb8a71102626615c108dfa4acdac8858ee1924,数据表,39,ATP_target_literature,False,True,False,eligibility is row-level after QC; source workbook unchanged
Member1,Member1_ATP_inhibitor_week1.xlsx,data/external/curated/Member1_ATP_inhibitor_week1.xlsx,c67cbe19c7581694d370335536cb8a71102626615c108dfa4acdac8858ee1924,来源记录,24,ATP_target_literature,False,True,False,eligibility is row-level after QC; source workbook unchanged
Member2,Member2_GN_antibacterial_week1.xlsx,data/external/curated/Member2_GN_antibacterial_week1.xlsx,a5d7b25054f2467a41202bba49006316658c2867e60753b9f6097af564093453,数据表,310,GN_MIC,True,True,False,eligibility is row-level after QC; source workbook unchanged
Member2,Member2_GN_antibacterial_week1.xlsx,data/external/curated/Member2_GN_antibacterial_week1.xlsx,a5d7b25054f2467a41202bba49006316658c2867e60753b9f6097af564093453,来源记录,6,GN_MIC,True,True,False,eligibility is row-level after QC; source workbook unchanged
Member3,Member3_Part2_AI_Benchmark_26_audited.xlsx,data/external/curated/Member3_Part2_AI_Benchmark_26_audited.xlsx,6ffd3d924e37c1d474b6285d6358f1b2653a96344cac169e09e91e5d25854018,AI_Benchmark,0,benchmark_catalog,False,False,True,eligibility is row-level after QC; source workbook unchanged
Member3,Member3_Part2_AI_Benchmark_26_audited.xlsx,data/external/curated/Member3_Part2_AI_Benchmark_26_audited.xlsx,6ffd3d924e37c1d474b6285d6358f1b2653a96344cac169e09e91e5d25854018,Audit,0,benchmark_catalog,False,False,True,eligibility is row-level after QC; source workbook unchanged
Member3,Member3_Part2_AI_Benchmark_26_audited.xlsx,data/external/curated/Member3_Part2_AI_Benchmark_26_audited.xlsx,6ffd3d924e37c1d474b6285d6358f1b2653a96344cac169e09e91e5d25854018,README,0,benchmark_catalog,False,False,True,eligibility is row-level after QC; source workbook unchanged
project,README.md,data/external/curated/README.md,de3b5715ec81d1d3c2ff3137ffeade4f985912fcc534fe2dc5869f3b2389ade4,file,unknown,documentation,False,False,True,documentation only
Member1,经典ATP synthase inhibitor.docx,data/external/curated/经典ATP synthase inhibitor.docx,c7619785e7e5d869a9e503d2a5aa12dced9a1a1ae789e55d93507026b1ce20d1,file,unknown,documentation,False,False,True,documentation only
Member3,BindingDB_BindingDB_Articles.tsv,D:\R trytry\BindingDB_BindingDB_Articles.tsv,bfd1d5655a0e378650fe9d7bd40edd2622fda2f9147a1a35c8c9c0a25dc9ad9a,TSV,93712,concrete protein-ligand experimental records,False,True,False,exact content duplicate of repository ZIP member; streamed from uploaded file; row-level target gate applies
