canonical_smiles,scaffold,context,label_log10,measurement_count,sample_weight,data_origin,references,fold_id,baseline_oof,augmented_oof
Br.CCN(CC)CCn1c(=N)n(CCCOc2ccc(Cl)cc2Cl)c2ccccc21,N=c1[nH]c2ccccc2n1CCCOc1ccccc1,Acinetobacter baumannii,1.0969100130080565,2,1.0,External_Dataset_v2,ChEMBL | Acinetobacter baumannii OxPhos inhibitors as selective anti-infective agents. | DOI:10.1016/j.bmcl.2014.11.020,3,1.0689445829834932,1.1628154550192926
BrC1=CC2=CC=C(CN3CCCC3)C=CC=NC(SCc3ccccc3)=C1CNC2,C1=CC(CN2CCCC2)=CC=C2C=CC(=C(SCc3ccccc3)N=C1)CNC2,Acinetobacter baumannii ATCC 17978,1.505149978319906,1,1.0,External_Dataset_v2,Synthesis and Evaluation of Pyridine-Based Antibacterial Agents that Inhibit ATP Synthase in Acinetobacter baumannii | DOI:10.1021/acsomega.5c06380,4,1.3667710346408857,1.3648310607299554
BrC1=CC2=CC=C(CN3CCCC3)C=CC=NC(SCc3ccccc3)=C1CNC2,C1=CC(CN2CCCC2)=CC=C2C=CC(=C(SCc3ccccc3)N=C1)CNC2,Acinetobacter baumannii BAA 1605 (MDR),1.806179973983887,1,1.0,External_Dataset_v2,Synthesis and Evaluation of Pyridine-Based Antibacterial Agents that Inhibit ATP Synthase in Acinetobacter baumannii | DOI:10.1021/acsomega.5c06380,4,1.3667710346408857,1.3648310607299554
BrC1=CC2CCNCC1=C(SCc1ccccc1)N=CCCN(C1CCCC1)CC2,C1=CC2CCNCC1=C(SCc1ccccc1)N=CCCN(C1CCCC1)CC2,Acinetobacter baumannii ATCC 17978,2.1072099696478683,1,1.0,External_Dataset_v2,Synthesis and Evaluation of Pyridine-Based Antibacterial Agents that Inhibit ATP Synthase in Acinetobacter baumannii | DOI:10.1021/acsomega.5c06380,4,1.2585102477506773,1.2270630498935153
BrC1=CC=C2N=C3SCC2=CC=CC=CC2CCCCC4=CCCN2CCC1CCNCC3=C4,C1=CC=C2CSC3=NC2=CC=CC2CCNCC3=CC3=CCCN(CC2)C(C=C1)CCCC3,Acinetobacter baumannii ATCC 1605 (MDR),1.2041199826559248,1,1.0,External_Dataset_v2,Quinoline ATP Synthase Inhibitors with Activity Against Multidrug Resistant Acinetobacter baumannii and Pseudomonas aeruginosa | DOI:10.1002/cmdc.202400952,0,1.4700634241224302,1.5359754741302172
BrC1=CC=C2N=C3SCC2=CC=CC=CC2CCCCC4=CCCN2CCC1CCNCC3=C4,C1=CC=C2CSC3=NC2=CC=CC2CCNCC3=CC3=CCCN(CC2)C(C=C1)CCCC3,Acinetobacter baumannii ATCC 17978,1.2041199826559248,1,1.0,External_Dataset_v2,Quinoline ATP Synthase Inhibitors with Activity Against Multidrug Resistant Acinetobacter baumannii and Pseudomonas aeruginosa | DOI:10.1002/cmdc.202400952,0,1.4700634241224302,1.5359754741302172
BrC1=CC=C2N=C3SCC2=CC=CC=CC2CCCCC4=CCCN2CCC1CCNCC3=C4,C1=CC=C2CSC3=NC2=CC=CC2CCNCC3=CC3=CCCN(CC2)C(C=C1)CCCC3,Pseudomonas aeruginosa ATCC BAA 2108 (MDR),1.505149978319906,1,1.0,External_Dataset_v2,Quinoline ATP Synthase Inhibitors with Activity Against Multidrug Resistant Acinetobacter baumannii and Pseudomonas aeruginosa | DOI:10.1002/cmdc.202400952,0,1.4700634241224302,1.5359754741302172
Brc1c(-c2ccc(-c3[nH]c4cc(C5=NCCN5)ccc4c3Br)cc2)[nH]c2cc(C3=NCCN3)ccc12.O=C(O)C(F)(F)F,c1cc2cc(-c3ccc(-c4cc5ccc(C6=NCCN6)cc5[nH]4)cc3)[nH]c2cc1C1=NCCN1,Acinetobacter baumannii,0.09691001300805642,1,1.0,External_Dataset_v2,ChEMBL | Potent and broad-spectrum antibacterial activity of indole-based bisamidine antibiotics: synthesis and SAR of novel analogs of MBX 1066 and MBX 1090. | DOI:10.1016/j.bmc.2013.10.014,0,1.4828988466446917,1.5058507613173795
C#CCN1CC/C(=C\C2=C(C(=O)O)N3C(=O)[C@@H](NC(=O)/C(=N\O)c4csc(N)n4)[C@H]3SC2)C1=O,N=C(C(=O)N[C@@H]1C(=O)N2C=C(/C=C3\CCNC3=O)CS[C@H]12)c1cscn1,Pseudomonas aeruginosa,0.9030899869919435,1,1.0,External_Dataset_v2,"ChEMBL | Synthesis and structure-activity relationship of (lactamylvinyl)cephalosporins exhibiting activity against staphylococci, pneumococci, and enterococci. | DOI:10.1021/jm950886v",3,0.7293504732777008,0.8938059710418838
C#CCNC(=N)N(C)CCCCCCCCNCCCCCCCCNC(=N)N.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F,C#CCNC(=N)N(C)CCCCCCCCNCCCCCCCCNC(=N)N.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F,Acinetobacter baumannii,2.4082399653118496,1,1.0,External_Dataset_v2,ChEMBL | Synthesis of linear and cyclic guazatine derivatives endowed with antibacterial activity. | DOI:10.1016/j.bmcl.2014.09.081,1,1.4268996881100924,1.4967323167629878
