compound_id,compound_code,canonical_smiles,scaffold,historical_HTVS_score,docking_rank_utility,reference_similarity,parent_reference_similarity,reference_compound,reference_key,reference_doi,source_file,acquisition_rank,acquisition_score,stage_gate,is_experimental_recommendation,executed,reason
ATP-HTVS-AD7FBCC01633,85217,[NH3+][C@H](C#Cc1cc2ccccc2nc1NC(=O)Cc1ccc(O)cc1)Cc1cccc(F)c1,O=C(Cc1ccccc1)Nc1nc2ccccc2cc1C#CCCc1ccccc1,-6.49299466235293,0.9963235294117647,0.36363636363636365,0.40540540540540543,compound 1 (Fraunfelter 2023),WIDVPHSBAXLSEU-LJQANCHMSA-N,10.1021/acsinfecdis.3c00317,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib,1,0.7754344919786097,blocked_pending_XP_prepared_complex_license_and_protocol,False,False,Historical HTVS rank + actual Morgan similarity to corrected source structures + greedy scaffold diversity; not activity probability
ATP-HTVS-D6043925B579,66273,O[C@H](C[NH2+]Cc1cn(Cc2ccccc2)nc1-c1ccccc1)c1ccc(F)cc1F,c1ccc(CC[NH2+]Cc2cn(Cc3ccccc3)nc2-c2ccccc2)cc1,-6.72217226588382,0.9981617647058824,0.2875,0.36,WSA298,IZWVLJVCXHHUOO-UHFFFAOYSA-N,10.1021/acsomega.5c06380,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib,2,0.7497058823529412,blocked_pending_XP_prepared_complex_license_and_protocol,False,False,Historical HTVS rank + actual Morgan similarity to corrected source structures + greedy scaffold diversity; not activity probability
ATP-HTVS-E71202E475AE,88195,Cc1cc(OCc2ccccc2)ncc1NC(=O)Nc1ccccc1C[NH+](C)C,O=C(Nc1ccccc1)Nc1ccc(OCc2ccccc2)nc1,-6.19841322737428,0.9865196078431373,0.3013698630136986,0.3194444444444444,compound 15 (Steed 2022),RIDDIWJTDCGXDH-NRFANRHFSA-N,10.1021/acsomega.2c03127,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae,3,0.7487392559763631,blocked_pending_XP_prepared_complex_license_and_protocol,False,False,Historical HTVS rank + actual Morgan similarity to corrected source structures + greedy scaffold diversity; not activity probability
ATP-HTVS-A53B334F5824,50977,COc1ccc(C[NH2+]C[C@@H]2c3ccccc3C(=O)N2Cc2ccccc2)cc1F,O=C1c2ccccc2C(C[NH2+]Cc2ccccc2)N1Cc1ccccc1,-5.82573794113561,0.9650735294117647,0.3176470588235294,0.37037037037037035,WSA297,GXYVJEJKTGYEDL-UHFFFAOYSA-N,10.1021/acsomega.5c06380,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib,4,0.7437132352941177,blocked_pending_XP_prepared_complex_license_and_protocol,False,False,Historical HTVS rank + actual Morgan similarity to corrected source structures + greedy scaffold diversity; not activity probability
ATP-HTVS-49D68E9248AF,44739,NC(=O)[C@@H]([NH2+]Cc1cc(OCc2ccccc2)c2ccccc2c1)c1ccccc1,c1ccc(C[NH2+]Cc2cc(OCc3ccccc3)c3ccccc3c2)cc1,-5.70465144918072,0.9509803921568627,0.32857142857142857,0.36764705882352944,compound 15 (Steed 2022),RIDDIWJTDCGXDH-NRFANRHFSA-N,10.1021/acsomega.2c03127,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae,5,0.7404901960784314,blocked_pending_XP_prepared_complex_license_and_protocol,False,False,Historical HTVS rank + actual Morgan similarity to corrected source structures + greedy scaffold diversity; not activity probability
ATP-HTVS-B31ECD8B9A27,61603,C[NH2+]Cc1ccccc1CNC(=O)c1cc(-c2ccccn2)nc2ccccc12,O=C(NCc1ccccc1)c1cc(-c2ccccn2)nc2ccccc12,-5.92766230536446,0.9712009803921569,0.275,0.2702702702702703,compound 18 (Steed 2022),DCLANSSFVIGXHQ-OAQYLSRUSA-N,10.1021/acsomega.2c03127,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae,6,0.7318504901960784,blocked_pending_XP_prepared_complex_license_and_protocol,False,False,Historical HTVS rank + actual Morgan similarity to corrected source structures + greedy scaffold diversity; not activity probability
ATP-HTVS-3E71027F124F,67650,CN(CCC#N)c1ccc(C[NH2+]Cc2cn(C)nc2OCc2ccccc2)cc1,c1ccc(C[NH2+]Cc2c[nH]nc2OCc2ccccc2)cc1,-6.04277285789881,0.9761029411764706,0.2625,0.3333333333333333,compound 15 (Steed 2022),RIDDIWJTDCGXDH-NRFANRHFSA-N,10.1021/acsomega.2c03127,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz,7,0.7299264705882353,blocked_pending_XP_prepared_complex_license_and_protocol,False,False,Historical HTVS rank + actual Morgan similarity to corrected source structures + greedy scaffold diversity; not activity probability
ATP-HTVS-FC732D287CB6,71265,C[NH+](C)Cc1ccc(CNc2cc3ccccc3nc2NC(=O)Cc2ccc(C#N)cc2)cc1,O=C(Cc1ccccc1)Nc1nc2ccccc2cc1NCc1ccccc1,-5.55592145779039,0.928921568627451,0.3287671232876712,0.4375,compound 8 (Steed 2022),ROJPDORYZONAPF-UHFFFAOYSA-N,10.1021/acsomega.2c03127,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib,8,0.7295292774644104,blocked_pending_XP_prepared_complex_license_and_protocol,False,False,Historical HTVS rank + actual Morgan similarity to corrected source structures + greedy scaffold diversity; not activity probability
ATP-HTVS-AC71774ACC4B,91074,C[NH+](C)Cc1ccc(CNc2csc(C(=O)N[C@H](C[NH3+])c3ccccc3)c2)cc1,O=C(NCc1ccccc1)c1cc(NCc2ccccc2)cs1,-6.96005044741765,1.0,0.2222222222222222,0.2898550724637681,compound 15 (Steed 2022),RIDDIWJTDCGXDH-NRFANRHFSA-N,10.1021/acsomega.2c03127,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz,9,0.7277777777777777,blocked_pending_XP_prepared_complex_license_and_protocol,False,False,Historical HTVS rank + actual Morgan similarity to corrected source structures + greedy scaffold diversity; not activity probability
ATP-HTVS-DDBB6FEB6103,43170,C[C@H](O)Cc1ccc(C[NH2+]Cc2oc3ccc(F)cc3c2-c2ccccc2)cc1,c1ccc(C[NH2+]Cc2oc3ccccc3c2-c2ccccc2)cc1,-6.29318849134732,0.9926470588235294,0.23170731707317074,0.3157894736842105,WSA298,IZWVLJVCXHHUOO-UHFFFAOYSA-N,10.1021/acsomega.5c06380,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz,10,0.7274210903873745,blocked_pending_XP_prepared_complex_license_and_protocol,False,False,Historical HTVS rank + actual Morgan similarity to corrected source structures + greedy scaffold diversity; not activity probability
ATP-HTVS-0F3A12BD04AB,91361,CC(=O)c1ccc(CC(=O)Nc2c[nH+]c3ccccc3c2NCc2ccc(NCCO)cc2)c(F)c1,O=C(Cc1ccccc1)Nc1c[nH+]c2ccccc2c1NCc1ccccc1,-6.07159898960278,0.977328431372549,0.25301204819277107,0.2804878048780488,compound 8 (Steed 2022),ROJPDORYZONAPF-UHFFFAOYSA-N,10.1021/acsomega.2c03127,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib,11,0.7272184325537444,blocked_pending_XP_prepared_complex_license_and_protocol,False,False,Historical HTVS rank + actual Morgan similarity to corrected source structures + greedy scaffold diversity; not activity probability
ATP-HTVS-3B3954EE8C13,84897,[NH3+][C@@H](C#Cc1cnc2ccccc2c1NC(=O)C#Cc1cccc(F)c1)Cc1cccc(F)c1,O=C(C#Cc1ccccc1)Nc1c(C#CCCc2ccccc2)cnc2ccccc12,-6.32225078624524,0.9938725490196079,0.22826086956521738,0.22093023255813954,compound 19 (Steed 2022),DHQKBEDPXLHXAJ-OAQYLSRUSA-N,10.1021/acsomega.2c03127,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib,12,0.72682757885763,blocked_pending_XP_prepared_complex_license_and_protocol,False,False,Historical HTVS rank + actual Morgan similarity to corrected source structures + greedy scaffold diversity; not activity probability
ATP-HTVS-83768D529230,81825,C[NH+](C)Cc1ccc(CNc2csc(CC(=O)Nc3ccccc3)c2)cc1,O=C(Cc1cc(NCc2ccccc2)cs1)Nc1ccccc1,-5.83755543127655,0.9656862745098039,0.2676056338028169,0.328125,compound 8 (Steed 2022),ROJPDORYZONAPF-UHFFFAOYSA-N,10.1021/acsomega.2c03127,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-001_lib/ATP-VSW-DOCK_HTVS_1-001_lib,13,0.726505109085888,blocked_pending_XP_prepared_complex_license_and_protocol,False,False,Historical HTVS rank + actual Morgan similarity to corrected source structures + greedy scaffold diversity; not activity probability
ATP-HTVS-98E751432A52,90242,C[NH+](C)Cc1cccc(CNc2cnc(NC(=O)C#Cc3ccccc3)c(F)c2)c1,O=C(C#Cc1ccccc1)Nc1ccc(NCc2ccccc2)cn1,-6.28735821177687,0.991421568627451,0.22988505747126436,0.2702702702702703,WSA298,IZWVLJVCXHHUOO-UHFFFAOYSA-N,10.1021/acsomega.5c06380,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz,14,0.7261705544286681,blocked_pending_XP_prepared_complex_license_and_protocol,False,False,Historical HTVS rank + actual Morgan similarity to corrected source structures + greedy scaffold diversity; not activity probability
ATP-HTVS-397149B089BD,39490,Cc1cccc(-c2nn(Cc3ccccc3)cc2C[NH2+]Cc2cccc3c2CCN3)c1,c1ccc(Cn2cc(C[NH2+]Cc3cccc4c3CCN4)c(-c3ccccc3)n2)cc1,-5.85385473217396,0.9669117647058824,0.2625,0.34210526315789475,WSA294,FPTVNOKSIHPUTA-UHFFFAOYSA-N,10.1021/acsomega.5c06380,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-002_lib.maegz,15,0.7253308823529412,blocked_pending_XP_prepared_complex_license_and_protocol,False,False,Historical HTVS rank + actual Morgan similarity to corrected source structures + greedy scaffold diversity; not activity probability
ATP-HTVS-E3E3C457ADC4,20867,[NH3+][C@H](Cc1ccc(O)cc1)c1nc2ccccc2n1/C=C/c1ccccn1,C(=Cn1c(CCc2ccccc2)nc2ccccc21)c1ccccn1,-6.02590230095753,0.9754901960784313,0.25,0.2702702702702703,compound 1 (Fraunfelter 2023),WIDVPHSBAXLSEU-LJQANCHMSA-N,10.1021/acsinfecdis.3c00317,运行/运行/ATP-VSW/ATP-VSW-DOCK_HTVS_1-003_lib/ATP-VSW-DOCK_HTVS_1-003_lib.mae,16,0.7252450980392157,blocked_pending_XP_prepared_complex_license_and_protocol,False,False,Historical HTVS rank + actual Morgan similarity to corrected source structures + greedy scaffold diversity; not activity probability
