compound_id,old_known_inhibitor_similarity,new_verified_claim_reference_similarity,new_parent_standardized_similarity,nearest_release_compound,nearest_source_doi,interpretation
ATP-SMI-15737353FB69,0.1625,0.24358974358974358,0.37142857142857144,WSA294,10.1021/acsomega.5c06380,chemical proximity only; not confirmed activity or confidence probability
ATP-SMI-4417138BF81D,0.3013698630136986,0.3013698630136986,0.3150684931506849,compound 8 (Steed 2022),10.1021/acsomega.2c03127,chemical proximity only; not confirmed activity or confidence probability
ATP-SMI-5B36D3E11A3B,0.2151898734177215,0.2222222222222222,0.2898550724637681,compound 15 (Steed 2022),10.1021/acsomega.2c03127,chemical proximity only; not confirmed activity or confidence probability
ATP-SMI-5D3E7B6B6796,0.2150537634408602,0.25316455696202533,0.2894736842105263,compound 15 (Steed 2022),10.1021/acsomega.2c03127,chemical proximity only; not confirmed activity or confidence probability
ATP-SMI-775D33706F04,0.1686746987951807,0.21686746987951808,0.2375,compound 15 (Steed 2022),10.1021/acsomega.2c03127,chemical proximity only; not confirmed activity or confidence probability
ATP-SMI-874C2DE25FE4,0.1553398058252427,0.23809523809523808,0.33766233766233766,WSA280,10.1021/acsomega.5c06380,chemical proximity only; not confirmed activity or confidence probability
ATP-SMI-91E7552C2382,0.2077922077922078,0.23684210526315788,0.30303030303030304,compound 15 (Steed 2022),10.1021/acsomega.2c03127,chemical proximity only; not confirmed activity or confidence probability
ATP-SMI-94F73967C042,0.1975308641975308,0.21052631578947367,0.3188405797101449,Ward2024 compound 1,10.1021/acsmedchemlett.3c00480,chemical proximity only; not confirmed activity or confidence probability
ATP-SMI-96FD6257D8BA,0.2,0.2111111111111111,0.358974358974359,WSA280,10.1021/acsomega.5c06380,chemical proximity only; not confirmed activity or confidence probability
ATP-SMI-9DA3213A09E8,0.1764705882352941,0.21176470588235294,0.34285714285714286,compound 15 (Steed 2022),10.1021/acsomega.2c03127,chemical proximity only; not confirmed activity or confidence probability
ATP-SMI-BF69AB71C1A4,0.1744186046511628,0.2261904761904762,0.2289156626506024,compound 15 (Steed 2022),10.1021/acsomega.2c03127,chemical proximity only; not confirmed activity or confidence probability
ATP-SMI-C3308BEE03AC,0.1951219512195122,0.21686746987951808,0.2777777777777778,compound 15 (Steed 2022),10.1021/acsomega.2c03127,chemical proximity only; not confirmed activity or confidence probability
ATP-SMI-C93E6EC67CDB,0.1744186046511628,0.2235294117647059,0.2261904761904762,compound 15 (Steed 2022),10.1021/acsomega.2c03127,chemical proximity only; not confirmed activity or confidence probability
ATP-SMI-CDED936B42F4,0.2051282051282051,0.26666666666666666,0.28378378378378377,compound 15 (Steed 2022),10.1021/acsomega.2c03127,chemical proximity only; not confirmed activity or confidence probability
ATP-SMI-CFA68A98711F,0.1944444444444444,0.2535211267605634,0.2898550724637681,compound 15 (Steed 2022),10.1021/acsomega.2c03127,chemical proximity only; not confirmed activity or confidence probability
ATP-SMI-E9798004BA11,0.1951219512195122,0.24691358024691357,0.3055555555555556,compound 15 (Steed 2022),10.1021/acsomega.2c03127,chemical proximity only; not confirmed activity or confidence probability
ATP-SMI-FCA9CDF3313B,0.2244897959183673,0.2235294117647059,0.24691358024691357,Ward2024 compound 8,10.1021/acsmedchemlett.3c00480,chemical proximity only; not confirmed activity or confidence probability
