assay_id,organism,doi,n,scaffolds,endpoint,label,cross_DOI_validation,model,evaluated_n,total_n,spearman,rmse,ndcg_at_5,top_k,recovered_hits,true_hits,top_k_enrichment,hit_recovery
asy_4f7a87e5bfe2,Acinetobacter baumannii,10.1002/cmdc.202400952,6,4,IC50_ATP_synthesis,recomputed_p_activity_within_assay,not_available_single_DOI_per_assay,within_assay_training_mean,6,6,-0.5002164033860247,0.5012546592815748,0.6897744371194432,5,4,5,0.96,0.8
asy_4f7a87e5bfe2,Acinetobacter baumannii,10.1002/cmdc.202400952,6,4,IC50_ATP_synthesis,recomputed_p_activity_within_assay,not_available_single_DOI_per_assay,RF_structure,6,6,-0.08827348295047495,0.48288784574413535,0.7927482320049756,5,4,5,0.96,0.8
asy_55188c1cb354,Pseudomonas aeruginosa,10.1021/acsmedchemlett.3c00480,19,14,IC50_ATP_synthesis,recomputed_p_activity_within_assay,not_available_single_DOI_per_assay,within_assay_training_mean,19,19,-0.8630626999274622,0.7223838299595946,0.18451597406321882,5,0,5,0.0,0.0
asy_55188c1cb354,Pseudomonas aeruginosa,10.1021/acsmedchemlett.3c00480,19,14,IC50_ATP_synthesis,recomputed_p_activity_within_assay,not_available_single_DOI_per_assay,RF_structure,19,19,0.5666666666666667,0.5509780279837324,0.7941658241640595,5,1,5,0.7599999999999999,0.2
asy_6c2d0a1024e4,Pseudomonas aeruginosa,10.1021/acsomega.2c03127,6,5,IC50_ATP_synthesis,recomputed_p_activity_within_assay,not_available_single_DOI_per_assay,within_assay_training_mean,6,6,-0.2898855178262242,0.346666334159651,0.7110350831107214,5,4,5,0.96,0.8
asy_6c2d0a1024e4,Pseudomonas aeruginosa,10.1021/acsomega.2c03127,6,5,IC50_ATP_synthesis,recomputed_p_activity_within_assay,not_available_single_DOI_per_assay,RF_structure,6,6,-0.11595420713048969,0.34164648281241855,0.7587590940678032,5,4,5,0.96,0.8
asy_72ab0153c0c5,Pseudomonas aeruginosa,10.1002/cmdc.202400952,6,4,IC50_ATP_synthesis,recomputed_p_activity_within_assay,not_available_single_DOI_per_assay,within_assay_training_mean,6,6,-0.5002164033860247,0.36604143143994455,0.6725216762612874,5,4,5,0.96,0.8
asy_72ab0153c0c5,Pseudomonas aeruginosa,10.1002/cmdc.202400952,6,4,IC50_ATP_synthesis,recomputed_p_activity_within_assay,not_available_single_DOI_per_assay,RF_structure,6,6,0.3478626213914691,0.3450660698617488,0.8768792063669494,5,4,5,0.96,0.8
asy_e0b3632b492e,Acinetobacter baumannii,10.1021/acsomega.5c06380,10,3,IC50_ATP_synthesis,recomputed_p_activity_within_assay,not_available_single_DOI_per_assay,within_assay_training_mean,10,10,-0.6292532049656925,0.2490942846562772,0.4555460095920838,5,2,5,0.8,0.4
asy_e0b3632b492e,Acinetobacter baumannii,10.1021/acsomega.5c06380,10,3,IC50_ATP_synthesis,recomputed_p_activity_within_assay,not_available_single_DOI_per_assay,RF_structure,10,10,0.7212121212121211,0.19442628115429364,0.9525629987064577,5,4,5,1.6,0.8
