feature,split_count,gain,feature_group
glide_ligand_efficiency,53,6094.240896834992,preserved_v3_feature
glide_emodel,69,1615.434032946825,preserved_v3_feature
desc_heavy_atom_count,22,1516.476624302566,preserved_v3_feature
glide_ligand_efficiency_sa,11,987.357207596302,preserved_v3_feature
glide_docking_score,43,669.9858715981245,preserved_v3_feature
quickprop_nonhatm,6,665.061219997704,preserved_v3_feature
quickprop_ip_ev,57,528.5104064121842,preserved_v3_feature
glide_gscore,27,461.9722318351269,preserved_v3_feature
release_similarity_asy_72ab0153c0c5,14,338.9276278167963,new_release_knowledge
quickprop_in56,12,244.25469182804227,preserved_v3_feature
release_similarity_asy_4f7a87e5bfe2,12,226.28898338228464,new_release_knowledge
morgan1024_0072,6,144.33265627361834,preserved_v3_feature
glide_ecoul,42,137.36494489142206,preserved_v3_feature
desc_mol_wt,12,132.56524041295052,preserved_v3_feature
morgan1024_0927,8,103.07914221286774,preserved_v3_feature
morgan1024_0774,3,92.97655975818634,preserved_v3_feature
release_similarity_asy_55188c1cb354,4,75.11553864181042,new_release_knowledge
desc_molar_refractivity,4,72.29669857025146,preserved_v3_feature
morgan1024_0255,14,67.13333308696747,preserved_v3_feature
quickprop_qppolrz,8,51.210117019712925,preserved_v3_feature
desc_exact_mol_wt,5,44.45977035164833,preserved_v3_feature
quickprop_qplogkp,11,41.9012970328331,preserved_v3_feature
glide_einternal,13,41.07456225156784,preserved_v3_feature
morgan1024_0419,1,36.505401611328125,preserved_v3_feature
quickprop_ringatoms,6,35.68089109659195,preserved_v3_feature
morgan1024_0147,1,32.42649841308594,preserved_v3_feature
quickprop_ciqplogs,7,32.39399902522564,preserved_v3_feature
glide_evdw,17,29.619141839444637,preserved_v3_feature
release_prior_asy_6c2d0a1024e4,1,25.191499710083008,new_release_knowledge
glide_ligand_efficiency_ln,4,21.91136944293976,preserved_v3_feature
morgan1024_0486,8,21.89307200908661,preserved_v3_feature
quickprop_volume,17,20.668922625482082,preserved_v3_feature
quickprop_pisa,2,19.931469440460205,preserved_v3_feature
morgan1024_0333,4,19.881954848766327,preserved_v3_feature
morgan1024_0675,5,15.353775918483734,preserved_v3_feature
glide_energy,9,13.054910592734814,preserved_v3_feature
morgan1024_0017,6,10.784778237342834,preserved_v3_feature
quickprop_amine,6,10.698215929791331,preserved_v3_feature
morgan1024_1019,9,10.512604922056198,preserved_v3_feature
quickprop_fosa,17,9.841242417693138,preserved_v3_feature
desc_hba,5,9.837961247190833,preserved_v3_feature
morgan1024_0063,2,9.730260789394379,preserved_v3_feature
morgan1024_0392,12,9.47351748496294,preserved_v3_feature
quickprop_metab,10,7.769882999360561,preserved_v3_feature
morgan1024_0315,5,6.538722008466721,preserved_v3_feature
desc_total_atom_count,4,6.36642599105835,preserved_v3_feature
quickprop_qplogkhsa,5,5.749994020909071,preserved_v3_feature
quickprop_qplogpo_w,4,5.234702080488205,preserved_v3_feature
morgan1024_0397,1,4.5601301193237305,preserved_v3_feature
quickprop_qplogpw,2,4.534292176365852,preserved_v3_feature
quickprop_jm,2,3.6743744388222694,preserved_v3_feature
quickprop_humanoralabsorption,2,3.46931791305542,preserved_v3_feature
quickprop_mol_mw,1,3.462009906768799,preserved_v3_feature
quickprop_ea_ev,1,2.164560079574585,preserved_v3_feature
release_similarity_asy_6c2d0a1024e4,1,2.1146399974823,new_release_knowledge
morgan1024_0205,1,1.9686700105667114,preserved_v3_feature
morgan1024_0110,1,1.9101799726486206,preserved_v3_feature
quickprop_dip_2_v,11,1.5849707014858723,preserved_v3_feature
morgan1024_0117,4,1.3696671966463327,preserved_v3_feature
quickprop_accpthb,3,1.1456453800201416,preserved_v3_feature
morgan1024_0980,1,0.9832980036735535,preserved_v3_feature
quickprop_qplogpoct,1,0.8440920114517212,preserved_v3_feature
desc_tpsa,3,0.8151849806308746,preserved_v3_feature
quickprop_qplogpc16,3,0.7352679967880249,preserved_v3_feature
morgan1024_0191,1,0.7330430150032043,preserved_v3_feature
morgan1024_0846,1,0.7112280130386353,preserved_v3_feature
quickprop_qppmdck,2,0.6804919838905334,preserved_v3_feature
release_similarity_asy_e0b3632b492e,1,0.6508039832115173,new_release_knowledge
quickprop_ruleofthree,4,0.6226140037178993,preserved_v3_feature
morgan1024_0650,2,0.4741699993610382,preserved_v3_feature
quickprop_fisa,2,0.37578798830509186,preserved_v3_feature
quickprop_psa,1,0.3755980134010315,preserved_v3_feature
morgan1024_0275,1,0.35964998602867126,preserved_v3_feature
quickprop_acxdn_5_sa,2,0.34791800379753113,preserved_v3_feature
quickprop_dipole,4,0.30145449936389923,preserved_v3_feature
morgan1024_0193,2,0.29161500185728073,preserved_v3_feature
morgan1024_0790,1,0.23565000295639038,preserved_v3_feature
quickprop_percenthumanoralabsorption,1,0.23525400459766388,preserved_v3_feature
morgan1024_0583,2,0.1804869994521141,preserved_v3_feature
morgan1024_0033,1,0.12893100082874298,preserved_v3_feature
quickprop_sasa,1,0.06287720054388046,preserved_v3_feature
morgan1024_0543,1,0.055492300540208817,preserved_v3_feature
morgan1024_0257,1,0.05301300063729286,preserved_v3_feature
quickprop_qplogherg,1,0.0362607017159462,preserved_v3_feature
morgan1024_0313,1,0.013396600261330605,preserved_v3_feature
morgan1024_0067,0,0.0,preserved_v3_feature
morgan1024_0068,0,0.0,preserved_v3_feature
morgan1024_0069,0,0.0,preserved_v3_feature
morgan1024_0070,0,0.0,preserved_v3_feature
morgan1024_0071,0,0.0,preserved_v3_feature
morgan1024_0073,0,0.0,preserved_v3_feature
morgan1024_0074,0,0.0,preserved_v3_feature
morgan1024_0075,0,0.0,preserved_v3_feature
morgan1024_0076,0,0.0,preserved_v3_feature
morgan1024_0077,0,0.0,preserved_v3_feature
morgan1024_0078,0,0.0,preserved_v3_feature
morgan1024_0079,0,0.0,preserved_v3_feature
morgan1024_0080,0,0.0,preserved_v3_feature
morgan1024_0081,0,0.0,preserved_v3_feature
morgan1024_0082,0,0.0,preserved_v3_feature
morgan1024_0083,0,0.0,preserved_v3_feature
morgan1024_0084,0,0.0,preserved_v3_feature
morgan1024_0085,0,0.0,preserved_v3_feature
morgan1024_0086,0,0.0,preserved_v3_feature
morgan1024_0087,0,0.0,preserved_v3_feature
morgan1024_0088,0,0.0,preserved_v3_feature
morgan1024_0089,0,0.0,preserved_v3_feature
morgan1024_0090,0,0.0,preserved_v3_feature
morgan1024_0091,0,0.0,preserved_v3_feature
morgan1024_0092,0,0.0,preserved_v3_feature
morgan1024_0093,0,0.0,preserved_v3_feature
morgan1024_0094,0,0.0,preserved_v3_feature
morgan1024_0095,0,0.0,preserved_v3_feature
morgan1024_0096,0,0.0,preserved_v3_feature
morgan1024_0097,0,0.0,preserved_v3_feature
morgan1024_0098,0,0.0,preserved_v3_feature
morgan1024_0099,0,0.0,preserved_v3_feature
morgan1024_0100,0,0.0,preserved_v3_feature
morgan1024_0101,0,0.0,preserved_v3_feature
morgan1024_0102,0,0.0,preserved_v3_feature
morgan1024_0103,0,0.0,preserved_v3_feature
morgan1024_0104,0,0.0,preserved_v3_feature
morgan1024_0105,0,0.0,preserved_v3_feature
morgan1024_0106,0,0.0,preserved_v3_feature
morgan1024_0107,0,0.0,preserved_v3_feature
morgan1024_0108,0,0.0,preserved_v3_feature
morgan1024_0109,0,0.0,preserved_v3_feature
morgan1024_0111,0,0.0,preserved_v3_feature
morgan1024_0112,0,0.0,preserved_v3_feature
morgan1024_0113,0,0.0,preserved_v3_feature
morgan1024_0114,0,0.0,preserved_v3_feature
morgan1024_0115,0,0.0,preserved_v3_feature
morgan1024_0116,0,0.0,preserved_v3_feature
morgan1024_0118,0,0.0,preserved_v3_feature
morgan1024_0119,0,0.0,preserved_v3_feature
morgan1024_0120,0,0.0,preserved_v3_feature
morgan1024_0121,0,0.0,preserved_v3_feature
morgan1024_0122,0,0.0,preserved_v3_feature
morgan1024_0123,0,0.0,preserved_v3_feature
morgan1024_0124,0,0.0,preserved_v3_feature
morgan1024_0125,0,0.0,preserved_v3_feature
morgan1024_0126,0,0.0,preserved_v3_feature
morgan1024_0127,0,0.0,preserved_v3_feature
morgan1024_0128,0,0.0,preserved_v3_feature
morgan1024_0129,0,0.0,preserved_v3_feature
morgan1024_0130,0,0.0,preserved_v3_feature
morgan1024_0131,0,0.0,preserved_v3_feature
morgan1024_0132,0,0.0,preserved_v3_feature
morgan1024_0133,0,0.0,preserved_v3_feature
morgan1024_0134,0,0.0,preserved_v3_feature
morgan1024_0135,0,0.0,preserved_v3_feature
morgan1024_0136,0,0.0,preserved_v3_feature
morgan1024_0137,0,0.0,preserved_v3_feature
morgan1024_0138,0,0.0,preserved_v3_feature
morgan1024_0139,0,0.0,preserved_v3_feature
morgan1024_0140,0,0.0,preserved_v3_feature
morgan1024_0141,0,0.0,preserved_v3_feature
morgan1024_0142,0,0.0,preserved_v3_feature
morgan1024_0143,0,0.0,preserved_v3_feature
morgan1024_0144,0,0.0,preserved_v3_feature
