attempt,cached,canonical_smiles,completed_at,compound_id,elapsed_seconds,ligand_sha256,pose_centroid,pose_count,pose_qc,pose_sha256,protocol_id,scaffold,scope,signature,started_at,status,stderr_sha256,stdout_sha256,training,vina_affinity,folder
1,True,Cc1cc(C[NH+](C)C)ccc1C[NH2+]Cc1cc2c(C(=O)O)cccc2nc1SCc1ccccc1,2026-09-03T07:52:07.477401+00:00,ATP-RDL-00B9531D87097990,369.92384123802185,e63f1063a06b25fd0905f211e0d1012df5118fa3d9ca49d3996ccf80ad28196c,"[194.27011428571427, 189.35899999999998, 163.32888571428572]",9,pass,8359072ccc7ef2edd72df03dfac5fe6a1af8ff8ca09ee2f820a7703ba119666e,vina_7p3w_v1,c1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1,computational docking evidence; not biological activity,7c7003ee5d12ad3de920ff4d61efd2f3e86bd7bb884d08354b87c5b894490912,2026-09-03T07:45:57.576224+00:00,success,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,04bf390a2de1c0534e238d2c38d52dec782eda39e693c83cb4cb0e426bfebdb0,False,-8.235,workspace_local/reference_workflow/vina_cache/7c/7c7003ee5d12ad3de920ff4d61efd2f3e86bd7bb884d08354b87c5b894490912
1,True,C[NH+](C)Cc1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2c(F)cccc2C2CC2)cc1,2026-09-03T07:35:47.862458+00:00,ATP-RDL-0565AAE1B1B00E0E,146.44067072868347,4bebd99bfc1ed264704b63e23bcbce840016323529b286b8cfa59355a0d578b6,"[196.1282285714286, 187.65317142857143, 160.46377142857142]",9,pass,48dfb77e093e51fc0e0f1ef047e2c1c78faa7e3e2b3524a259a02740fe73cf7d,vina_7p3w_v1,c1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2C2CC2)cc1,computational docking evidence; not biological activity,c2e62c50477ac5c558cd81aa9a558b10be4a0b223bb4dfeb567af2d21590a993,2026-09-03T07:33:21.441859+00:00,success,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,97d451498916042dc5bf2d964ecfe4b5e09269a662bc96990560992eefbfd5f4,False,-7.52,workspace_local/reference_workflow/vina_cache/c2/c2e62c50477ac5c558cd81aa9a558b10be4a0b223bb4dfeb567af2d21590a993
1,True,Cc1cc(C[NH2+]Cc2cc3c(C(=O)O)cccc3nc2SCc2ccccc2)ccc1C[NH+](C)C,2026-09-03T07:57:12.648579+00:00,ATP-RDL-0584CCA0B989015C,366.60834550857544,1b07ac0254f63afff8105e64945e320f0f8e1120a06c33f621ad3f4c42c44afa,"[195.92894285714286, 188.3056, 161.8887142857143]",9,pass,9e70d3d542d1e3e165bcbb0d67e4c56ec9c6956b17e18e8fe08f222575f533cd,vina_7p3w_v1,c1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1,computational docking evidence; not biological activity,8ddc9ab6c8c946fc3e618ff6cfe471859dc33990f63b73fb726e7039294b046f,2026-09-03T07:51:06.076951+00:00,success,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,271ef10b59dcddf11b48193d09556f74a1c12304c55bbfbdd2783ea59d56d0c8,False,-7.783,workspace_local/reference_workflow/vina_cache/8d/8ddc9ab6c8c946fc3e618ff6cfe471859dc33990f63b73fb726e7039294b046f
1,True,C[NH+](C)Cc1ccc(C[NH2+]Cc2cc3c(F)ccc(Cl)c3nc2SCc2ccccc2)cc1,2026-09-02T18:02:28.606097+00:00,ATP-RDL-09249830AB23A99B,156.95338559150696,6257e819edc5f8fceab43e99fdc88973761898c16ae28c2ae7b3b6ffb9e4c66e,"[193.44490909090908, 189.3909696969697, 162.79151515151514]",9,pass,1ad81cf9c9a0fd066c3568b553db2a5faad1c92c756469e06cb476dbd93053a1,vina_7p3w_v1,c1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1,computational docking evidence; not biological activity,3678df103ae6fe77bf1e861e7da7ff31d894892445f5f6cf90135cd51a79aaa8,2026-09-02T17:59:51.673799+00:00,success,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,40f3993fd8958c5355bf2661f9bfa7ea5a165c38097ec073da5981b07e330dfb,False,-8.503,workspace_local/library_generation/in2_smoke_100_v1/vina_jobs/36/3678df103ae6fe77bf1e861e7da7ff31d894892445f5f6cf90135cd51a79aaa8
1,True,C[NH+](C)Cc1ccc(C[NH2+]Cc2cc3ccc(CO)c(O)c3nc2SCc2ccccc2)cc1,2026-09-03T07:31:05.455970+00:00,ATP-RDL-09AD77A471447DA9,143.1681878566742,853410a8a2f97f2bd12276b4ed73bcf071816eb19acfd95be808ebd906fde295,"[193.32158823529412, 189.02529411764704, 162.5759117647059]",9,pass,10afb47b4638d527d4f890cf8928161fd2c4366279fdea29a55dd0dfaa4b4806,vina_7p3w_v1,c1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1,computational docking evidence; not biological activity,235e96b2000a6e6d453a8519bf6cd2a85b46d55f4b377292f8bf26a85d97da0d,2026-09-03T07:28:42.312731+00:00,success,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,bd30f2fe8aa641dbf9cccab4f46682614d68fab332d7fef1282d07bfecf0dd0e,False,-7.893,workspace_local/reference_workflow/vina_cache/23/235e96b2000a6e6d453a8519bf6cd2a85b46d55f4b377292f8bf26a85d97da0d
1,True,C[NH+](C)Cc1ccc(C[NH2+]Cc2cc3c(CO)cccc3nc2SCc2ccccc2)c(C#N)c1,2026-09-03T07:26:12.889029+00:00,ATP-RDL-0F220D2A9D7B48E2,149.19011211395264,2d1fb9ba57bc208e306fbf4dbe53a9e22b3f8045877b27f96179202f0ac757b6,"[195.18040000000002, 187.89328571428572, 161.04525714285714]",9,pass,1d736d92d85995f2e43d839e9413ded693771f9aeb85da7d82417629021d547a,vina_7p3w_v1,c1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1,computational docking evidence; not biological activity,9fbd95347c5f6ad67b3cca2f95d1f16fe6a8815b1b89ec0c11ff970f2201d7b2,2026-09-03T07:23:43.720628+00:00,success,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0647c66d5b16002210bb64116038a2dc1a1dc71990b22bb4f2ab8c11d113d416,False,-8.442,workspace_local/reference_workflow/vina_cache/9f/9fbd95347c5f6ad67b3cca2f95d1f16fe6a8815b1b89ec0c11ff970f2201d7b2
1,True,C[NH+](C)Cc1ccc(C[NH2+]Cc2cc3cccc(CF)c3nc2SCc2ccccc2)c(F)c1,2026-09-03T07:33:21.410606+00:00,ATP-RDL-198CB2243DBF82FC,135.94999313354492,6cdc32e576c19df49dd19b9b9cdac117073e0b9f5570e7d1bfd83c378fc15e00,"[193.53476470588234, 189.20929411764706, 162.5036176470588]",9,pass,999c0340827d07db9caa10907e985dd79fe8a0d271d55898c0e02f7c51c97dbd,vina_7p3w_v1,c1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1,computational docking evidence; not biological activity,0a8a30d5bafbdc4aed65d890427e2ba0a851df5e436d80f9c4cbe6162da990e6,2026-09-03T07:31:05.481911+00:00,success,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,d9f6603523d525002f0f0f79a47017bff53d43d2b0f785cd4c00181a57ac445f,False,-8.444,workspace_local/reference_workflow/vina_cache/0a/0a8a30d5bafbdc4aed65d890427e2ba0a851df5e436d80f9c4cbe6162da990e6
1,True,C[NH+](C)Cc1ccc(C[NH2+]Cc2cc3ccc(CO)cc3nc2SCc2ccccc2C#N)cc1,2026-09-02T18:10:45.898823+00:00,ATP-RDL-1B17A0277B3EB6D3,138.7653341293335,f9376c9701f78048a6294706d0a73dd2002f93bb086f3f6f5a6b99d26ff3fbac,"[198.2629142857143, 181.58228571428572, 155.13182857142857]",9,pass,e86f49f3658ee862e9672246de711b7de7f8b8fe91ba825a4ec28bda1f6c5b39,vina_7p3w_v1,c1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1,computational docking evidence; not biological activity,d303e3779f9ac28848a5886e3d0be0d3b3835e96508ad4592b1dde74043e43d0,2026-09-02T18:08:27.150109+00:00,success,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,4a259412970e918bae4fc26ddca2eeed4f7c885c5ec746299bfd1c0a504579fa,False,-8.05,workspace_local/library_generation/in2_smoke_100_v1/vina_jobs/d3/d303e3779f9ac28848a5886e3d0be0d3b3835e96508ad4592b1dde74043e43d0
1,True,COc1cccc2cc(C[NH2+]Cc3ccc(C[NH+](C)C)cc3)c(SCc3ccccc3)nc12,2026-09-03T07:19:14.260078+00:00,ATP-RDL-2168501FE5B22A2A,123.87363386154175,cca3d2a268e632c9794c13f31d0e39e869b3d42ab261205a0e8da5e6682e1ec1,"[193.82063636363637, 189.03266666666664, 163.04130303030303]",9,pass,4c2264abbb2930942ed3631ae39df2117162542d23976882b0f0a0559a1dfe21,vina_7p3w_v1,c1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1,computational docking evidence; not biological activity,1b81131dd85edab4fd09299f1250761e959198228c9132bb6f6956dd2ef9f680,2026-09-03T07:17:10.410821+00:00,success,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0b20eb3d0477f9d8d241d6e71ae02fe7254d3ed296ff7ebab41bb751ad39a29b,False,-8.414,workspace_local/reference_workflow/vina_cache/1b/1b81131dd85edab4fd09299f1250761e959198228c9132bb6f6956dd2ef9f680
1,True,CSc1cc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc(C)c1C[NH+](C)C,2026-09-03T07:19:41.575272+00:00,ATP-RDL-27C09D74E52406A5,129.94637632369995,2dc2e9ff3175804a0fc5b355ed5dbf6a152856ee9ef547e1db039af093661d89,"[194.42394117647058, 188.68726470588237, 162.1151176470588]",9,pass,58acadad72982f0403c53171ee6e05d7703942fdb61516d718cbaddd9b0b0b7b,vina_7p3w_v1,c1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1,computational docking evidence; not biological activity,f3803ea46c9c7a9ea7e48f3926d41191c223f9a500f4ddedf807affe004fb8f3,2026-09-03T07:17:31.649155+00:00,success,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,4e5ab997eff3e6b70f2027801c73f53c65292cdbd6ee294ccbaa1cf9992b4d45,False,-8.349,workspace_local/reference_workflow/vina_cache/f3/f3803ea46c9c7a9ea7e48f3926d41191c223f9a500f4ddedf807affe004fb8f3
