compound_id,parent_id,canonical_smiles,inchikey,generation_method,attachment_site,reaction_smarts,building_block_id,building_block_smiles,generator_config,seed,provenance_hash,timestamp,design_index,substitution_depth,sanitization_status,desalting_status,valence_status,molecular_weight,clogp,tpsa,hbd,hba,rotatable_bonds,lipinski_pass,veber_pass,pains_warnings,reactive_warnings,warning_count,qc_status,rejection_reason,absolute_formal_charge,ring_count,fraction_csp3,scaffold,filter_status,hard_failure_reasons,warning_reasons,filter_protocol_id,filter_hash,attempt,cached,canonical_smiles_vina,completed_at,elapsed_seconds,ligand_sha256,pose_centroid,pose_count,pose_qc,pose_sha256,protocol_id,scaffold_vina,scope,signature,started_at,status,stderr_sha256,stdout_sha256,training,vina_affinity,folder,similarity_to_IN2,vina_utility,rank_boundary_proximity,scaffold_novelty,evidence_completeness_before,evidence_gap,protocol_uncertainty,protocol_uncertainty_status,acquisition_priority,acquisition_scope,acquisition_rank,existing_open_mmgbsa_evidence
ATP-RDL-FC76E2D041DBC392,ATP-REF-IN2,C[NH+](C)Cc1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccc(C3CCC3)c(O)c2)cc1,WFYFFUAKCDUSCQ-UHFFFAOYSA-P,scaffold_preserving_R_group_enumeration,26;27,[cH:1].[*:2]-[*:3]>>[c:1]-[*:3],R_cBu;R_OH,[*:1]C1CCC1;[*:1]O,0edaacdb8a4b66f6f28108efa09d111887870a2ef58b4953eddeaca48e82dd6b,20260903,50465c76216f6a8bcef638cb5136ef63d5aa6e0b16f7f15e6aa21ce711fc2b68,2026-09-02T19:24:56.199851+00:00,203764,2,pass,unchanged,pass,499.724,4.4083,54.17,3,3,10,True,True,,,0,accepted,,2,5,0.3225806451612903,c1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccc(C3CCC3)cc2)cc1,accepted,,,open_physchem_structural_filter_v1,d92427f281c4690cf9034ca006ecd000dadc0a5711555781c0279b1b88e8ac6a,1,True,C[NH+](C)Cc1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccc(C3CCC3)c(O)c2)cc1,2026-09-02T18:21:11.149555+00:00,152.2308704853058,7015737e4d2abee1f9fb23a86f3220c507153ede2883d1ade7beb1d98740128a,"[195.4077777777778, 188.99869444444442, 160.56847222222223]",9,pass,0d3cf81c7ad2094944b637f2983b099292fd809f095d58c9b064a7364cc34526,vina_7p3w_v1,c1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccc(C3CCC3)cc2)cc1,computational docking evidence; not biological activity,9fd77bcdd14402cc651e9cd96de7270ec5f62e45a6e7fd5dfa22eb9163b936c8,2026-09-02T18:18:38.937262+00:00,success,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,2486a9a40c83b2c7e042301e3f48cd1ff153efa5a3d160fcc8ccfe2d5e751adc,False,-8.574,workspace_local/library_generation/in2_smoke_100_v1/vina_jobs/9f/9fd77bcdd14402cc651e9cd96de7270ec5f62e45a6e7fd5dfa22eb9163b936c8,0.6885245901639344,0.9508196721311475,0.8114754098360657,1.0,0.5,0.5,,unavailable_single_docking_protocol,0.8614754098360657,next expensive evidence priority; NOT biological hit ranking,1,True
ATP-RDL-C7B0FC4CAE17E985,ATP-REF-IN2,C[NH+](C)Cc1ccc(C[NH2+]Cc2cc3ccc(C4CCC4)cc3nc2SCc2cccc(O)c2)cc1,ACEKYWUTYMSJSI-UHFFFAOYSA-P,scaffold_preserving_R_group_enumeration,16;25,[cH:1].[*:2]-[*:3]>>[c:1]-[*:3],R_cBu;R_OH,[*:1]C1CCC1;[*:1]O,0edaacdb8a4b66f6f28108efa09d111887870a2ef58b4953eddeaca48e82dd6b,20260903,3d65ca358ec3f3a120835b1fd2bb6396ddbd03e38b45602672be1ea609ac33dd,2026-09-02T19:24:56.199851+00:00,143764,2,pass,unchanged,pass,499.724,4.4083,54.17,3,3,10,True,True,,,0,accepted,,2,5,0.3225806451612903,c1ccc(C[NH2+]Cc2cc3ccc(C4CCC4)cc3nc2SCc2ccccc2)cc1,accepted,,,open_physchem_structural_filter_v1,d92427f281c4690cf9034ca006ecd000dadc0a5711555781c0279b1b88e8ac6a,1,True,C[NH+](C)Cc1ccc(C[NH2+]Cc2cc3ccc(C4CCC4)cc3nc2SCc2cccc(O)c2)cc1,2026-09-03T07:29:19.154405+00:00,152.15703058242798,9d96fe035848080b0071115961769aa12dfa25225d4b2bda285843a8d1155f67,"[196.33927777777777, 190.0146388888889, 159.462]",9,pass,b0aae5110b067ab956faf0d4be5922cda97b659665f2eb42a4364472d4765d60,vina_7p3w_v1,c1ccc(C[NH2+]Cc2cc3ccc(C4CCC4)cc3nc2SCc2ccccc2)cc1,computational docking evidence; not biological activity,3bf86b8cb03ee5c9c656bf8ced664e24b1ade21dd87bccd3a0f1477dcb4de0b1,2026-09-03T07:26:47.018477+00:00,success,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e102aebaba84e63ba819b108d273a6181f515b6a070b079a332cbb1681cd66f5,False,-8.578,workspace_local/reference_workflow/vina_cache/3b/3bf86b8cb03ee5c9c656bf8ced664e24b1ade21dd87bccd3a0f1477dcb4de0b1,0.5909090909090909,0.9672131147540983,0.7909836065573772,1.0,0.5,0.5,,unavailable_single_docking_protocol,0.8541728763040239,next expensive evidence priority; NOT biological hit ranking,2,True
ATP-RDL-45D33411FCB29216,ATP-REF-IN2,Cc1cc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)c(C2CC2)cc1C[NH+](C)C,YFKVBBKQLSBSJZ-UHFFFAOYSA-P,scaffold_preserving_R_group_enumeration,5;29,[cH:1].[*:2]-[*:3]>>[c:1]-[*:3],R_Me;R_cPr,[*:1]C;[*:1]C1CC1,0edaacdb8a4b66f6f28108efa09d111887870a2ef58b4953eddeaca48e82dd6b,20260903,d453a8ad22b9b38819dc87ce5480c20e0688ea70c1c5a7035bd09f009a35e214,2026-09-02T19:24:56.199851+00:00,28410,2,pass,unchanged,pass,483.725,4.62102,33.94,2,2,10,True,True,,,0,accepted,,2,5,0.3225806451612903,c1ccc(CSc2nc3ccccc3cc2C[NH2+]Cc2ccccc2C2CC2)cc1,accepted,,,open_physchem_structural_filter_v1,d92427f281c4690cf9034ca006ecd000dadc0a5711555781c0279b1b88e8ac6a,1,True,Cc1cc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)c(C2CC2)cc1C[NH+](C)C,2026-09-03T07:57:10.218771+00:00,346.78524899482727,550cce8eb462b2002faab347855abd8db1a07e55cf16c583126117aa1e9aab68,"[194.49522857142856, 188.9127142857143, 162.1076857142857]",9,pass,58d5b5c34c150faad6fa831cc7abc1fe525ca3fb36009f60f722a3b83295df93,vina_7p3w_v1,c1ccc(CSc2nc3ccccc3cc2C[NH2+]Cc2ccccc2C2CC2)cc1,computational docking evidence; not biological activity,2c21efb4b2f8daf1a147d8b00a3441f990605d82059954cd995e15e3b8a07c96,2026-09-03T07:51:23.459873+00:00,success,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,4484744d76c3810ef01cb621b81ac239cbd6b96217d5694a7ab7ead1e074042c,False,-8.381,workspace_local/reference_workflow/vina_cache/2c/2c21efb4b2f8daf1a147d8b00a3441f990605d82059954cd995e15e3b8a07c96,0.6666666666666666,0.7540983606557377,0.942622950819672,0.7071067811865475,0.5,0.5,,unavailable_single_docking_protocol,0.7482519573302058,next expensive evidence priority; NOT biological hit ranking,3,False
ATP-RDL-8F532EB6C9924E81,ATP-REF-IN2,C[NH+](C)Cc1ccc(C[NH2+]Cc2c(SCc3ccccc3O)nc3ccccc3c2C2CCC2)cc1,FVNQQNXDZBJVPA-UHFFFAOYSA-P,scaffold_preserving_R_group_enumeration,12;28,[cH:1].[*:2]-[*:3]>>[c:1]-[*:3],R_cBu;R_OH,[*:1]C1CCC1;[*:1]O,0edaacdb8a4b66f6f28108efa09d111887870a2ef58b4953eddeaca48e82dd6b,20260903,05da226d6f07ac321218ece57f730b0dca2fcf5da5695fd1ef137f835e61af20,2026-09-02T19:24:56.199851+00:00,83764,2,pass,unchanged,pass,499.724,4.4083,54.17,3,3,10,True,True,,,0,accepted,,2,5,0.3225806451612903,c1ccc(C[NH2+]Cc2c(SCc3ccccc3)nc3ccccc3c2C2CCC2)cc1,accepted,,,open_physchem_structural_filter_v1,d92427f281c4690cf9034ca006ecd000dadc0a5711555781c0279b1b88e8ac6a,1,True,C[NH+](C)Cc1ccc(C[NH2+]Cc2c(SCc3ccccc3O)nc3ccccc3c2C2CCC2)cc1,2026-09-03T07:24:45.657758+00:00,155.6202347278595,8f9192fca4cbb32f8e734e4beb6ccc0d9a459e85ac79c18787c87c67f78e06ee,"[195.73402777777778, 188.1516111111111, 160.3728888888889]",9,pass,7f3fb7e5f7aec5d8484cc468aeaaf647902e05a791b161c2b37803ea2fa549bd,vina_7p3w_v1,c1ccc(C[NH2+]Cc2c(SCc3ccccc3)nc3ccccc3c2C2CCC2)cc1,computational docking evidence; not biological activity,a5ab04e3fedb9feaf2b9c0ec5ef8fba4f57b3aa8b1d31650718f60ff8ac83954,2026-09-03T07:22:10.060079+00:00,success,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,a1c42dabae0479241977eba0904140340e8e8179d1078d05a964104aad8a4354,False,-8.347,workspace_local/reference_workflow/vina_cache/a5/a5ab04e3fedb9feaf2b9c0ec5ef8fba4f57b3aa8b1d31650718f60ff8ac83954,0.4927536231884058,0.6721311475409836,0.8401639344262294,1.0,0.5,0.5,,unavailable_single_docking_protocol,0.73616060822048,next expensive evidence priority; NOT biological hit ranking,4,False
ATP-RDL-EB5772BE51F423EF,ATP-REF-IN2,C[NH+](C)Cc1ccc(C[NH2+]Cc2cc3cccc(N)c3nc2SCc2ccccc2)cc1F,VMLANSPBDFXVAI-UHFFFAOYSA-P,scaffold_preserving_R_group_enumeration,17;30,[cH:1].[*:2]-[*:3]>>[c:1]-[*:3],R_NH2;R_F,[*:1]N;[*:1]F,0edaacdb8a4b66f6f28108efa09d111887870a2ef58b4953eddeaca48e82dd6b,20260903,1b624cd5253dd672966612f0ed602ef001b4652ead5e91f252cea7cfd693de06,2026-09-02T19:24:56.199851+00:00,174600,2,pass,unchanged,pass,462.638,3.1565,59.96,3,3,9,True,True,,,0,accepted,,2,4,0.2222222222222222,c1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1,accepted,,,open_physchem_structural_filter_v1,d92427f281c4690cf9034ca006ecd000dadc0a5711555781c0279b1b88e8ac6a,1,True,C[NH+](C)Cc1ccc(C[NH2+]Cc2cc3cccc(N)c3nc2SCc2ccccc2)cc1F,2026-09-03T07:33:47.592589+00:00,128.94421887397766,fc732ce3cc06ec37aef7b5056c9b5ec60c25d31523ad6830d8b9d56423fb3057,"[193.70978787878786, 188.92227272727274, 162.39069696969696]",9,pass,4c260e0115ade03d5704953fff3410fd9072ff3bb612deedb6cdf08a953b882f,vina_7p3w_v1,c1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1,computational docking evidence; not biological activity,b29fef3da27ae1382a50768e8d60d5143f1e526916084499db723520243129dc,2026-09-03T07:31:38.669540+00:00,success,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,5b9ee31cb97f126abb1142038e960d94acf7391cf28b58ebfbcfe9f5f68bf78f,False,-8.723,workspace_local/reference_workflow/vina_cache/b2/b29fef3da27ae1382a50768e8d60d5143f1e526916084499db723520243129dc,0.5873015873015873,1.0,0.75,0.1386750490563073,0.5,0.5,,unavailable_single_docking_protocol,0.6864651685414203,next expensive evidence priority; NOT biological hit ranking,5,False
ATP-RDL-58410A3914BAC138,ATP-REF-IN2,CNc1cc(C[NH2+]Cc2cc3cccc(O)c3nc2SCc2ccccc2)ccc1C[NH+](C)C,UPVVBPRCUYPPHS-UHFFFAOYSA-P,scaffold_preserving_R_group_enumeration,5;17,[cH:1].[*:2]-[*:3]>>[c:1]-[*:3],R_NHMe;R_OH,[*:1]NC;[*:1]O,0edaacdb8a4b66f6f28108efa09d111887870a2ef58b4953eddeaca48e82dd6b,20260903,d24e6cc8d719e5c46c669937c9414f2a7ba3670d43dcadc533a33de870b976aa,2026-09-02T19:24:56.199851+00:00,14664,2,pass,unchanged,pass,474.674,3.1825,66.2,4,4,10,True,True,,,0,accepted,,2,4,0.25,c1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1,accepted,,,open_physchem_structural_filter_v1,d92427f281c4690cf9034ca006ecd000dadc0a5711555781c0279b1b88e8ac6a,1,True,CNc1cc(C[NH2+]Cc2cc3cccc(O)c3nc2SCc2ccccc2)ccc1C[NH+](C)C,2026-09-03T07:17:13.633121+00:00,132.17160773277283,5ad65863c939c87553a24e79ba6f10fa71e7928ce3efea00ebcf3adae118276e,"[193.777, 189.2019411764706, 162.32885294117648]",9,pass,0b373ae3308da780e562ae095ebeb0e707294dc40266acfe2207e8a4edf935b8,vina_7p3w_v1,c1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1,computational docking evidence; not biological activity,891c12f122c426fc9556376831b23f0879f60dfbde4038017f60c2f493b5d794,2026-09-03T07:15:01.482514+00:00,success,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,1c9bd9793cddf890ff9dc67af026595d7147b683a8bf5633580e1dd5f957cbef,False,-8.705,workspace_local/reference_workflow/vina_cache/89/891c12f122c426fc9556376831b23f0879f60dfbde4038017f60c2f493b5d794,0.5692307692307692,0.9836065573770492,0.7704918032786886,0.1386750490563073,0.5,0.5,,unavailable_single_docking_protocol,0.6821990703408959,next expensive evidence priority; NOT biological hit ranking,6,False
ATP-RDL-09249830AB23A99B,ATP-REF-IN2,C[NH+](C)Cc1ccc(C[NH2+]Cc2cc3c(F)ccc(Cl)c3nc2SCc2ccccc2)cc1,MTHRUYBDUMUHAU-UHFFFAOYSA-P,scaffold_preserving_R_group_enumeration,14;17,[cH:1].[*:2]-[*:3]>>[c:1]-[*:3],R_F;R_Cl,[*:1]F;[*:1]Cl,0edaacdb8a4b66f6f28108efa09d111887870a2ef58b4953eddeaca48e82dd6b,20260903,279f0cf9054eff0067c3d69f4dca25f161d306f967cd478ca6f411c97d3562a3,2026-09-02T19:24:56.199851+00:00,95701,2,pass,unchanged,pass,482.068,4.2277,33.94,2,2,9,True,True,,,0,accepted,,2,4,0.2222222222222222,c1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1,accepted,,,open_physchem_structural_filter_v1,d92427f281c4690cf9034ca006ecd000dadc0a5711555781c0279b1b88e8ac6a,1,True,C[NH+](C)Cc1ccc(C[NH2+]Cc2cc3c(F)ccc(Cl)c3nc2SCc2ccccc2)cc1,2026-09-02T18:02:28.606097+00:00,156.95338559150696,6257e819edc5f8fceab43e99fdc88973761898c16ae28c2ae7b3b6ffb9e4c66e,"[193.44490909090908, 189.3909696969697, 162.79151515151514]",9,pass,1ad81cf9c9a0fd066c3568b553db2a5faad1c92c756469e06cb476dbd93053a1,vina_7p3w_v1,c1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1,computational docking evidence; not biological activity,3678df103ae6fe77bf1e861e7da7ff31d894892445f5f6cf90135cd51a79aaa8,2026-09-02T17:59:51.673799+00:00,success,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,40f3993fd8958c5355bf2661f9bfa7ea5a165c38097ec073da5981b07e330dfb,False,-8.503,workspace_local/library_generation/in2_smoke_100_v1/vina_jobs/36/3678df103ae6fe77bf1e861e7da7ff31d894892445f5f6cf90135cd51a79aaa8,0.6333333333333333,0.9180327868852459,0.8524590163934427,0.1386750490563073,0.5,0.5,,unavailable_single_docking_protocol,0.6787732611773818,next expensive evidence priority; NOT biological hit ranking,7,False
ATP-RDL-3106AE4D333DE8DF,ATP-REF-IN2,C[NH+](C)Cc1ccc(C[NH2+]Cc2cc3cccc(CF)c3nc2SCc2ccccc2)cc1F,XEGIOBSZKZUCDK-UHFFFAOYSA-P,scaffold_preserving_R_group_enumeration,5;17,[cH:1].[*:2]-[*:3]>>[c:1]-[*:3],R_F;R_CH2F,[*:1]F;[*:1]CF,0edaacdb8a4b66f6f28108efa09d111887870a2ef58b4953eddeaca48e82dd6b,20260903,b22ce1ff179c988ec7ea3f1af1c11013fdc9d195f0d5faca210a0ea0cce782da,2026-09-02T19:24:56.199851+00:00,13225,2,pass,unchanged,pass,479.64,4.0438,33.94,2,2,10,True,True,,,0,accepted,,2,4,0.25,c1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1,accepted,,,open_physchem_structural_filter_v1,d92427f281c4690cf9034ca006ecd000dadc0a5711555781c0279b1b88e8ac6a,1,True,C[NH+](C)Cc1ccc(C[NH2+]Cc2cc3cccc(CF)c3nc2SCc2ccccc2)cc1F,2026-09-03T07:33:42.094106+00:00,129.72602486610413,df9c6f0d0ab8af4c943c14b5b5e327471374f5b0f817e78a5afcfb6e1379ec35,"[193.50688235294118, 188.9455588235294, 162.62697058823528]",9,pass,5f4a1df7cadf22a65076df59fe1e7f8e3f29e0ea7a49e7e3a69dba97bb1aab85,vina_7p3w_v1,c1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1,computational docking evidence; not biological activity,55bc46609b9b70f2c94660f16abe4850cd363768ee0e5f435e403cba35da2757,2026-09-03T07:31:32.387155+00:00,success,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,43605180b0d36bd94d76a9392f9b20b12dda85dd494ab878eb5850284c9f8e7b,False,-8.521,workspace_local/reference_workflow/vina_cache/55/55bc46609b9b70f2c94660f16abe4850cd363768ee0e5f435e403cba35da2757,0.5873015873015873,0.9344262295081968,0.8319672131147541,0.1386750490563073,0.5,0.5,,unavailable_single_docking_protocol,0.6766291029676498,next expensive evidence priority; NOT biological hit ranking,8,False
ATP-RDL-71642F6654637DAC,ATP-REF-IN2,COC(=O)c1cc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)ccc1C[NH+](C)C,NUIYRUBMBVJNEG-UHFFFAOYSA-P,scaffold_preserving_R_group_enumeration,30,[cH:1].[*:2]-[*:3]>>[c:1]-[*:3],R_CO2Me,[*:1]C(=O)OC,0edaacdb8a4b66f6f28108efa09d111887870a2ef58b4953eddeaca48e82dd6b,20260903,2ba8d128d7f15af291166a490fe622d43cd18a5c77ace5e0608d45bd8c8b7994,2026-09-02T19:24:56.199851+00:00,685,1,pass,unchanged,pass,487.669,3.2218,60.24,2,4,10,True,True,,,0,accepted,,2,4,0.2413793103448276,c1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1,accepted,,,open_physchem_structural_filter_v1,d92427f281c4690cf9034ca006ecd000dadc0a5711555781c0279b1b88e8ac6a,1,True,COC(=O)c1cc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)ccc1C[NH+](C)C,2026-09-03T07:17:31.625439+00:00,146.99541807174683,c66335076472529bbf5ab2c783b6b744d7554a12ed5624f86b6fe88d8cc6b61d,"[194.26085714285713, 188.4328285714286, 162.10788571428571]",9,pass,97b4364f47b1e597d1d314fb3f73cd5822bf592af20564a7ddc1c8689a9cda19,vina_7p3w_v1,c1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1,computational docking evidence; not biological activity,35d29635c7bb2ddc2d8669ec6526a6c89af4c49378877869df76d52af179a276,2026-09-03T07:15:04.651752+00:00,success,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,b4084998877ec65cf76fea4853d657127803ac3e7e56993c18f0f2a4b7103647,False,-8.444,workspace_local/reference_workflow/vina_cache/35/35d29635c7bb2ddc2d8669ec6526a6c89af4c49378877869df76d52af179a276,0.7,0.8442622950819673,0.944672131147541,0.1386750490563073,0.5,0.5,,unavailable_single_docking_protocol,0.6743743540735565,next expensive evidence priority; NOT biological hit ranking,9,False
ATP-RDL-3C68984737EFB02C,ATP-REF-IN2,C[NH+](C)Cc1c(N)cc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1C(F)F,PHQHJGVOEFNWCO-UHFFFAOYSA-P,scaffold_preserving_R_group_enumeration,5;30,[cH:1].[*:2]-[*:3]>>[c:1]-[*:3],R_NH2;R_CHF2,[*:1]N;[*:1]C(F)F,0edaacdb8a4b66f6f28108efa09d111887870a2ef58b4953eddeaca48e82dd6b,20260903,12bbee5dba42d5f0f325f3dd89b2f99ceeda7f5b791a078f15614add858be144,2026-09-02T19:24:56.199851+00:00,32124,2,pass,unchanged,pass,494.655,3.955,59.96,3,3,10,True,True,,,0,accepted,,2,4,0.25,c1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1,accepted,,,open_physchem_structural_filter_v1,d92427f281c4690cf9034ca006ecd000dadc0a5711555781c0279b1b88e8ac6a,1,True,C[NH+](C)Cc1c(N)cc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1C(F)F,2026-09-03T07:21:48.958816+00:00,154.69381499290466,207b27e4699160d545303769575a93c1643827e01e2e1cf67424ce452ac88331,"[194.3764285714286, 188.61325714285715, 162.10154285714285]",9,pass,b6f05d964f1c045fb7513bcdc96596a3bed4d6624603d4be77f89b64ea1f8aa2,vina_7p3w_v1,c1ccc(C[NH2+]Cc2cc3ccccc3nc2SCc2ccccc2)cc1,computational docking evidence; not biological activity,6d2106634e438b69d825bddbedb8c9a791396646af498434cd9ff7d7d0aebe6d,2026-09-03T07:19:14.285151+00:00,success,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,9f9d96965d5e18ac8c43b7acab558e2434080197bb1ee84ac8346e11c85cfb33,False,-8.45,workspace_local/reference_workflow/vina_cache/6d/6d2106634e438b69d825bddbedb8c9a791396646af498434cd9ff7d7d0aebe6d,0.6612903225806451,0.8688524590163934,0.9139344262295083,0.1386750490563073,0.5,0.5,,unavailable_single_docking_protocol,0.6741919109217851,next expensive evidence priority; NOT biological hit ranking,10,False
